date,time,currency,event,impact,actual,forecast,previous
2015-01-05,2:00am,EUR,Spanish Unemployment Change,Low,-72.0K,-14.7K,
2015-01-05,2:30am,CHF,Manufacturing PMI,Medium,52.9,52.1,
2015-01-05,3:30am,EUR,Sentix Investor Confidence,Medium,-0.9,-2.5,
2015-01-05,3:30am,GBP,Construction PMI,High,59.2,59.4,
2015-01-05,7:00am,USD,FOMC Member Williams Speaks,Low,,,
2015-01-05,All Day,USD,Total Vehicle Sales,Medium,16.9M,17.2M,
2015-01-05,5:50pm,JPY,Monetary Base y/y,Medium,34.3%,36.7%,
2015-01-05,9:45pm,JPY,10-y Bond Auction,Medium,,0.47|3.0,
2015-01-06,2:15am,EUR,Spanish Services PMI,Low,52.9,52.7,
2015-01-06,2:45am,EUR,Italian Services PMI,Low,51.4,51.8,
2015-01-06,2:50am,EUR,French Final Services PMI,Medium,49.8,49.8,
2015-01-06,2:55am,EUR,German Final Services PMI,Low,51.4,51.4,
2015-01-06,3:00am,EUR,Final Services PMI,Medium,51.9,51.9,
2015-01-06,3:30am,GBP,Final Services PMI,High,58.9,58.6,
2015-01-06,3:30am,GBP,BOE Credit Conditions Survey,Low,,,
2015-01-06,4:35am,GBP,10-y Bond Auction,Medium,,2.21|1.5,
2015-01-06,8:45am,USD,Final Services PMI,Medium,53.8,53.6,
2015-01-06,9:00am,USD,ISM Services PMI,High,58.2,59.3,
2015-01-06,9:00am,USD,Factory Orders m/m,Low,-0.3%,-0.7%,
2015-01-06,6:01pm,GBP,BRC Shop Price Index y/y,Medium,,-1.9%,
2015-01-07,2:00am,CHF,Foreign Currency Reserves,Low,,463B,
2015-01-07,2:55am,EUR,German Unemployment Change,Low,-6K,-16K,
2015-01-07,3:00am,EUR,Italian Monthly Unemployment Rate,Medium,13.3%,13.3%,
2015-01-07,3:10am,EUR,Retail PMI,Medium,,48.9,
2015-01-07,4:00am,EUR,CPI Flash Estimate y/y,High,0.0%,0.3%,
2015-01-07,4:00am,EUR,Core CPI Flash Estimate y/y,Low,0.6%,0.7%,
2015-01-07,4:00am,EUR,Unemployment Rate,Low,11.5%,11.5%,
2015-01-07,4:00am,EUR,Italian Prelim CPI m/m,Medium,-0.2%,-0.2%,
2015-01-07,7:15am,USD,ADP Non-Farm Employment Change,High,227K,227K,
2015-01-07,7:30am,USD,Trade Balance,High,-42.3B,-42.2B,
2015-01-07,9:30am,USD,Crude Oil Inventories,Low,0.9M,-1.8M,
2015-01-07,1:00pm,USD,FOMC Meeting Minutes,High,,,
2015-01-07,5:30pm,USD,FOMC Member Evans Speaks,Low,,,
2015-01-08,2:00am,GBP,Halifax HPI m/m,Low,0.3%,0.5%,
2015-01-08,3:59am,EUR,French 10-y Bond Auction,Medium,,1.11|2.4,
2015-01-08,4:00am,EUR,Retail Sales m/m,Low,0.3%,0.6%,
2015-01-08,4:00am,EUR,PPI m/m,Medium,-0.2%,-0.3%,
2015-01-08,6:00am,GBP,Official Bank Rate,High,0.50%,0.50%,
