date,time,currency,event,impact,actual,forecast,previous
2012-01-02,All Day,EUR,French Bank Holiday,Low,,,
2012-01-02,All Day,EUR,Italian Bank Holiday,Low,,,
2012-01-02,All Day,GBP,Bank Holiday,Low,,,
2012-01-02,2:45am,EUR,Italian Manufacturing PMI,Low,43.8,44.0,
2012-01-02,2:50am,EUR,French Final Manufacturing PMI,Medium,48.7,48.7,
2012-01-02,2:55am,EUR,German Final Manufacturing PMI,Medium,48.1,48.1,
2012-01-02,3:00am,EUR,Final Manufacturing PMI,Medium,46.9,46.9,
2012-01-02,All Day,USD,Bank Holiday,Low,,,
2012-01-02,All Day,JPY,Bank Holiday,Low,,,
2012-01-03,2:30am,CHF,Manufacturing PMI,Low,44.5,44.8,
2012-01-03,2:55am,EUR,German Unemployment Change,Low,-9K,-23K,
2012-01-03,3:30am,GBP,Final Manufacturing PMI,High,47.4,47.7,
2012-01-03,9:00am,USD,ISM Manufacturing PMI,High,53.3,52.7,
2012-01-03,9:00am,USD,Construction Spending m/m,Medium,0.6%,-0.2%,
2012-01-03,9:00am,USD,ISM Manufacturing Prices,Medium,47.6,45.0,
2012-01-03,1:00pm,USD,FOMC Meeting Minutes,High,,,
2012-01-04,2:15am,EUR,Spanish Manufacturing PMI,Low,,43.8,
2012-01-04,2:15am,EUR,Spanish Services PMI,Medium,,36.8,
2012-01-04,2:45am,EUR,Italian Services PMI,Medium,45.3,45.8,
2012-01-04,2:50am,EUR,French Final Services PMI,Medium,50.2,50.2,
2012-01-04,2:55am,EUR,German Final Services PMI,Medium,52.7,52.7,
2012-01-04,3:00am,EUR,Final Services PMI,Medium,48.3,48.3,
2012-01-04,3:30am,GBP,Construction PMI,High,51.8,52.3,
2012-01-04,3:30am,GBP,Net Lending to Individuals m/m,Low,1.0B,1.3B,
2012-01-04,3:30am,GBP,M4 Money Supply m/m,Medium,0.1%,-0.3%,
2012-01-04,3:30am,GBP,Mortgage Approvals,Medium,53K,53K,
2012-01-04,4:00am,EUR,CPI Flash Estimate y/y,Low,2.8%,3.0%,
2012-01-04,4:00am,EUR,Italian Prelim CPI m/m,Medium,0.3%,-0.1%,
2012-01-04,4:43am,EUR,German 10-y Bond Auction,Low,,1.98|1.1,
2012-01-04,9:00am,USD,Factory Orders m/m,Low,1.9%,-0.2%,
2012-01-04,All Day,USD,Total Vehicle Sales,Medium,13.5M,13.6M,
2012-01-04,5:50pm,JPY,Monetary Base y/y,Medium,20.3%,19.5%,
2012-01-05,3:00am,EUR,Italian Monthly Unemployment Rate,Medium,8.5%,8.5%,
2012-01-05,3:00am,EUR,Italian Quarterly Unemployment Rate,Medium,8.1%,8.0%,
2012-01-05,3:30am,GBP,Final Services PMI,High,51.6,52.1,
2012-01-05,3:30am,GBP,BOE Credit Conditions Survey,Low,,,
2012-01-05,4:00am,EUR,Industrial New Orders m/m,Low,2.4%,-7.8%,
2012-01-05,4:00am,EUR,PPI m/m,Medium,0.1%,0.1%,
2012-01-05,4:04am,EUR,French 10-y Bond Auction,Low,,3.18|3.1,
2012-01-05,6:30am,USD,Challenger Job Cuts y/y,Medium,,-12.8%,
2012-01-05,7:15am,USD,ADP Non-Farm Employment Change,High,176K,204K,
2012-01-05,7:30am,USD,Unemployment Claims,High,375K,387K,
2012-01-05,9:00am,CHF,SNB Chairman Hildebrand Speaks,High,,,
2012-01-05,9:00am,USD,ISM Services PMI,High,53.0,52.0,
2012-01-05,9:30am,USD,Natural Gas Storage,Medium,-78B,-81B,
