date,time,currency,event,impact,actual,forecast,previous
2023-01-02,All Day,GBP,Bank Holiday,Low,,,
2023-01-02,2:15am,EUR,Spanish Manufacturing PMI,Medium,45.9,45.7,
2023-01-02,2:45am,EUR,Italian Manufacturing PMI,Medium,48.5,48.4,
2023-01-02,2:50am,EUR,French Final Manufacturing PMI,Medium,48.9,48.9,
2023-01-02,2:55am,EUR,German Final Manufacturing PMI,Medium,47.4,47.4,
2023-01-02,3:00am,EUR,Final Manufacturing PMI,Medium,47.8,47.8,
2023-01-02,All Day,USD,Bank Holiday,Low,,,
2023-01-02,All Day,JPY,Bank Holiday,Low,,,
2023-01-03,2:00am,EUR,Spanish Unemployment Change,Medium,-40.3K,-33.5K,
2023-01-03,2:30am,CHF,Manufacturing PMI,Medium,53.0,53.9,
2023-01-03,2:55am,EUR,German Unemployment Change,Medium,15K,15K,
2023-01-03,3:30am,GBP,Final Manufacturing PMI,Medium,44.7,44.7,
2023-01-03,8:45am,USD,Final Manufacturing PMI,Medium,46.2,46.2,
2023-01-03,9:00am,USD,Construction Spending m/m,Medium,-0.4%,-0.2%,
2023-01-03,6:01pm,GBP,BRC Shop Price Index y/y,Medium,,7.4%,
2023-01-03,6:30pm,JPY,Final Manufacturing PMI,Medium,48.8,48.8,
2023-01-04,1:30am,CHF,CPI m/m,High,-0.1%,0.0%,
2023-01-04,1:45am,EUR,French Prelim CPI m/m,Medium,0.5%,0.3%,
2023-01-04,2:15am,EUR,Spanish Services PMI,Medium,50.8,51.2,
2023-01-04,2:45am,EUR,Italian Services PMI,Medium,49.5,49.5,
2023-01-04,2:50am,EUR,French Final Services PMI,Medium,48.1,48.1,
2023-01-04,2:55am,EUR,German Final Services PMI,Medium,49.0,49.0,
2023-01-04,3:00am,EUR,Final Services PMI,Medium,49.1,49.1,
2023-01-04,3:30am,GBP,M4 Money Supply m/m,Medium,0.2%,0.1%,
2023-01-04,3:30am,GBP,Mortgage Approvals,Medium,54K,58K,
2023-01-04,3:30am,GBP,Net Lending to Individuals m/m,Medium,4.5B,4.3B,
2023-01-04,9:00am,USD,ISM Manufacturing PMI,High,48.5,49.0,
2023-01-04,9:00am,USD,JOLTS Job Openings,High,10.04M,10.51M,
2023-01-04,9:00am,USD,ISM Manufacturing Prices,Medium,42.9,43.0,
2023-01-04,All Day,USD,Wards Total Vehicle Sales,Medium,13.4M,14.1M,
2023-01-04,1:00pm,USD,FOMC Meeting Minutes,High,,,
2023-01-04,3:30pm,USD,API Weekly Statistical Bulletin,Medium,,,
2023-01-04,5:50pm,JPY,Monetary Base y/y,Medium,-6.1%,-6.4%,
2023-01-04,9:35pm,JPY,10-y Bond Auction,Medium,,0.25|6.0,
2023-01-04,11:00pm,JPY,Consumer Confidence,Medium,28.2,28.6,
2023-01-05,3:30am,GBP,Final Services PMI,Medium,50.0,50.0,
2023-01-05,3:58am,EUR,French 10-y Bond Auction,Medium,,2.19|2.2,
2023-01-05,4:00am,EUR,PPI m/m,Medium,-0.8%,-3.0%,
2023-01-05,4:00am,EUR,Italian Prelim CPI m/m,Medium,0.2%,0.5%,
2023-01-05,6:30am,USD,Challenger Job Cuts y/y,Medium,,416.5%,
2023-01-05,7:15am,USD,ADP Non-Farm Employment Change,High,152K,182K,
2023-01-05,7:30am,USD,Unemployment Claims,Low,230K,223K,
2023-01-05,7:30am,USD,Trade Balance,Medium,-64.2B,-77.8B,
2023-01-05,8:45am,USD,Final Services PMI,Medium,44.4,44.4,
2023-01-05,9:30am,USD,Natural Gas Storage,Medium,-230B,-213B,
2023-01-05,10:00am,USD,Crude Oil Inventories,Medium,1.5M,0.7M,
2023-01-05,5:30pm,JPY,Average Cash Earnings y/y,Medium,1.7%,1.4%,
2023-01-06,FriJan 6,EUR,German Retail Sales m/m,Medium,1.5%,-2.8%,
2023-01-06,FriJan 6,GBP,Halifax HPI m/m,Medium,-0.6%,-2.4%,
2023-01-06,All Day,EUR,Italian Bank Holiday,Low,,,
2023-01-06,1:36am,CHF,Retail Sales y/y,Medium,-1.0%,-2.6%,
2023-01-06,1:45am,EUR,French Consumer Spending m/m,Medium,1.0%,-2.7%,
2023-01-06,3:30am,GBP,Construction PMI,Medium,50.6,50.4,
2023-01-06,4:00am,EUR,Core CPI Flash Estimate y/y,Low,5.1%,5.0%,
2023-01-06,4:00am,EUR,CPI Flash Estimate y/y,Low,9.6%,10.1%,
2023-01-06,4:00am,EUR,Retail Sales m/m,Medium,0.5%,-1.5%,
2023-01-06,7:30am,USD,Average Hourly Earnings m/m,High,0.4%,0.4%,
2023-01-06,7:30am,USD,Non-Farm Employment Change,High,200K,256K,
2023-01-06,7:30am,USD,Unemployment Rate,High,3.7%,3.7%,
2023-01-06,9:00am,USD,ISM Services PMI,High,55.0,56.5,
2023-01-06,9:00am,USD,Factory Orders m/m,Medium,-0.9%,0.4%,
2023-01-06,10:15am,USD,FOMC Member Cook Speaks,Medium,,,
2023-01-08,All Day,JPY,Bank Holiday,Low,,,
2023-01-09,1:00am,EUR,German Industrial Production m/m,Medium,0.2%,-0.4%,
2023-01-09,1:45am,EUR,French Trade Balance,Medium,-11.3B,-11.6B,
2023-01-09,2:00am,CHF,Foreign Currency Reserves,Medium,,790B,
2023-01-09,3:00am,EUR,Italian Monthly Unemployment Rate,Medium,7.8%,7.9%,
2023-01-09,3:30am,EUR,Sentix Investor Confidence,Medium,-18.1,-21.0,
2023-01-09,4:00am,EUR,Unemployment Rate,Medium,6.5%,6.5%,
2023-01-09,9:30am,GBP,MPC Member Pill Speaks,Medium,,,
2023-01-09,2:00pm,USD,Consumer Credit m/m,Medium,25.0B,29.1B,
2023-01-09,5:30pm,JPY,Household Spending y/y,Medium,0.6%,1.2%,
2023-01-09,5:30pm,JPY,Tokyo Core CPI y/y,Medium,3.8%,3.6%,
2023-01-09,6:01pm,GBP,BRC Retail Sales Monitor y/y,Medium,2.4%,4.1%,
2023-01-10,4:02am,GBP,10-y Bond Auction,Medium,,3.33|2.2,
2023-01-10,4:10am,JPY,BOJ Gov Kuroda Speaks,Low,,,
2023-01-10,4:59am,USD,NFIB Small Business Index,Medium,91.6,91.9,
2023-01-10,8:00am,USD,Fed Chairman Powell Speaks,High,,,
2023-01-10,9:00am,USD,Final Wholesale Inventories m/m,Medium,1.0%,1.0%,
2023-01-10,9:00am,USD,RCM/TIPP Economic Optimism,Medium,41.7,42.9,
2023-01-10,3:30pm,USD,API Weekly Statistical Bulletin,Medium,,,
2023-01-10,9:35pm,JPY,30-y Bond Auction,Medium,,1.48|3.0,
2023-01-10,11:00pm,JPY,Leading Indicators,Medium,97.5%,98.6%,
2023-01-11,4:33am,EUR,German 10-y Bond Auction,Medium,,1.95|2.0,
2023-01-11,9:30am,USD,Crude Oil Inventories,Medium,-2.0M,1.7M,
2023-01-11,12:01pm,USD,10-y Bond Auction,Low,,3.63|2.3,
2023-01-11,5:50pm,JPY,Bank Lending y/y,Medium,2.8%,2.7%,
2023-01-11,5:50pm,JPY,Current Account,Medium,0.65T,-0.61T,
2023-01-11,11:00pm,JPY,Economy Watchers Sentiment,Medium,47.8,48.1,
2023-01-12,6:30am,USD,FOMC Member Harker Speaks,Medium,,,
2023-01-12,7:30am,USD,Core CPI m/m,High,0.3%,0.2%,
2023-01-12,7:30am,USD,CPI m/m,High,-0.1%,0.1%,
2023-01-12,7:30am,USD,CPI y/y,High,6.5%,7.1%,
2023-01-12,7:30am,USD,Unemployment Claims,Low,216K,206K,
2023-01-12,9:30am,USD,Natural Gas Storage,Medium,-15B,-221B,
2023-01-12,11:00am,GBP,MPC Member Mann Speaks,Medium,,,
