date,time,currency,event,impact,actual,forecast,previous
2016-01-04,2:15am,EUR,Spanish Manufacturing PMI,Low,53.1,53.1,
2016-01-04,2:30am,CHF,Manufacturing PMI,Medium,50.2,49.7,
2016-01-04,2:45am,EUR,Italian Manufacturing PMI,Medium,54.9,54.9,
2016-01-04,2:50am,EUR,French Final Manufacturing PMI,Medium,51.6,51.6,
2016-01-04,2:55am,EUR,German Final Manufacturing PMI,Medium,53.0,53.0,
2016-01-04,3:00am,EUR,Final Manufacturing PMI,Medium,53.1,53.1,
2016-01-04,3:30am,GBP,Final Manufacturing PMI,High,52.8,52.5,
2016-01-04,3:30am,GBP,Net Lending to Individuals m/m,Low,4.9B,4.8B,
2016-01-04,3:30am,GBP,M4 Money Supply m/m,Medium,0.5%,0.6%,
2016-01-04,3:30am,GBP,Mortgage Approvals,Medium,70K,70K,
2016-01-04,8:45am,USD,Final Manufacturing PMI,Medium,51.1,51.3,
2016-01-04,9:00am,USD,ISM Manufacturing PMI,High,49.1,48.6,
2016-01-04,9:00am,USD,Construction Spending m/m,Medium,0.7%,0.3%,
2016-01-04,9:00am,USD,ISM Manufacturing Prices,Medium,36.5,35.5,
2016-01-04,5:50pm,JPY,Monetary Base y/y,Medium,33.2%,32.5%,
2016-01-04,9:45pm,JPY,10-y Bond Auction,Medium,,0.32|3.6,
2016-01-05,2:55am,EUR,German Unemployment Change,Low,-7K,-14K,
2016-01-05,3:30am,GBP,Construction PMI,High,56.1,55.3,
2016-01-05,4:00am,EUR,Core CPI Flash Estimate y/y,Low,1.0%,0.9%,
2016-01-05,4:00am,EUR,CPI Flash Estimate y/y,Low,0.4%,0.2%,
2016-01-05,4:00am,EUR,Italian Prelim CPI m/m,Medium,0.1%,-0.4%,
2016-01-05,4:33am,GBP,10-y Bond Auction,Medium,,1.94|1.5,
2016-01-05,All Day,USD,Wards Total Vehicle Sales,Medium,18.0M,18.0M,
2016-01-05,All Day,USD,Total Vehicle Sales,Medium,18.1M,18.2M,
2016-01-05,3:30pm,USD,API Weekly Statistical Bulletin,Medium,,,
2016-01-05,6:01pm,GBP,BRC Shop Price Index y/y,Medium,,-2.1%,
2016-01-06,2:15am,EUR,Spanish Services PMI,Medium,56.9,56.7,
2016-01-06,2:45am,EUR,Italian Services PMI,Medium,53.8,53.4,
2016-01-06,2:50am,EUR,French Final Services PMI,Medium,50.0,50.0,
2016-01-06,2:55am,EUR,German Final Services PMI,Medium,55.4,55.4,
2016-01-06,3:00am,EUR,Final Services PMI,Medium,53.9,53.9,
2016-01-06,3:30am,GBP,Final Services PMI,High,55.6,55.9,
2016-01-06,4:00am,EUR,PPI m/m,Medium,-0.2%,-0.3%,
2016-01-06,7:15am,USD,ADP Non-Farm Employment Change,High,193K,211K,
2016-01-06,7:30am,USD,Trade Balance,High,-44.0B,-44.6B,
2016-01-06,8:45am,USD,Final Services PMI,Medium,55.1,53.7,
2016-01-06,9:00am,USD,ISM Services PMI,High,56.0,55.9,
2016-01-06,9:00am,USD,Factory Orders m/m,Low,-0.2%,1.3%,
2016-01-06,9:30am,USD,Crude Oil Inventories,Low,0.7M,2.6M,
2016-01-06,1:00pm,USD,FOMC Meeting Minutes,High,,,
2016-01-06,9:45pm,JPY,30-y Bond Auction,Medium,,1.40|3.9,
2016-01-07,ThuJan 7,EUR,German Retail Sales m/m,Low,0.5%,-0.1%,
2016-01-07,2:00am,CHF,Foreign Currency Reserves,Low,,563B,
2016-01-07,2:00am,GBP,Halifax HPI m/m,Low,0.5%,0.0%,
2016-01-07,3:00am,EUR,Italian Monthly Unemployment Rate,Medium,11.5%,11.5%,
2016-01-07,3:10am,EUR,Retail PMI,Medium,,48.5,
2016-01-07,3:59am,EUR,French 10-y Bond Auction,Medium,,0.50|2.3,
2016-01-07,4:00am,EUR,Unemployment Rate,Low,10.7%,10.6%,
2016-01-07,4:00am,EUR,Retail Sales m/m,Medium,0.2%,-0.2%,
2016-01-07,6:30am,USD,Challenger Job Cuts y/y,Medium,,-13.9%,
2016-01-07,7:30am,USD,Unemployment Claims,High,271K,287K,
2016-01-07,9:30am,USD,Natural Gas Storage,Medium,-95B,-58B,
2016-01-07,6:00pm,JPY,BOJ Summary of Opinions,Medium,,,
2016-01-07,7:30pm,JPY,Average Cash Earnings y/y,Medium,0.7%,0.7%,
