date,time,currency,event,impact,actual,forecast,previous
2020-01-06,All Day,EUR,Italian Bank Holiday,Low,,,
2020-01-06,2:15am,EUR,Spanish Services PMI,Medium,53.9,53.2,
2020-01-06,2:45am,EUR,Italian Services PMI,Medium,50.9,50.4,
2020-01-06,2:50am,EUR,French Final Services PMI,Medium,52.4,52.4,
2020-01-06,2:55am,EUR,German Final Services PMI,Medium,52.0,52.0,
2020-01-06,3:00am,EUR,Final Services PMI,Medium,52.4,52.4,
2020-01-06,3:30am,EUR,Sentix Investor Confidence,Medium,3.0,0.7,
2020-01-06,3:30am,GBP,Final Services PMI,Medium,49.1,49.0,
2020-01-06,4:00am,EUR,PPI m/m,Medium,0.1%,0.0%,
2020-01-06,8:45am,USD,Final Services PMI,Medium,52.2,52.2,
2020-01-06,5:50pm,JPY,Monetary Base y/y,Medium,3.6%,3.3%,
2020-01-06,9:35pm,JPY,10-y Bond Auction,Medium,,-0.04|3.3,
2020-01-07,3:55am,GBP,Housing Equity Withdrawal q/q,Medium,-7.2B,-7.6B,
2020-01-07,4:00am,EUR,CPI Flash Estimate y/y,Low,1.3%,1.0%,
2020-01-07,4:00am,EUR,Core CPI Flash Estimate y/y,Medium,1.3%,1.3%,
2020-01-07,4:00am,EUR,Italian Prelim CPI m/m,Medium,0.2%,-0.2%,
2020-01-07,4:00am,EUR,Retail Sales m/m,Medium,0.6%,-0.3%,
2020-01-07,4:34am,GBP,10-y Bond Auction,Medium,,0.74|2.2,
2020-01-07,7:30am,USD,Trade Balance,Medium,-44.5B,-46.9B,
2020-01-07,9:00am,USD,ISM Services PMI,High,54.5,53.9,
2020-01-07,9:00am,USD,Factory Orders m/m,Medium,-0.6%,0.2%,
2020-01-07,3:30pm,USD,API Weekly Statistical Bulletin,Medium,,,
2020-01-07,5:30pm,JPY,Average Cash Earnings y/y,Medium,-0.2%,0.0%,
2020-01-07,11:02pm,JPY,Consumer Confidence,Medium,39.6,38.7,
2020-01-08,1:45am,EUR,French Trade Balance,Medium,-5.0B,-4.9B,
2020-01-08,2:30am,GBP,Halifax HPI m/m,Medium,0.6%,1.2%,
2020-01-08,4:36am,EUR,German 10-y Bond Auction,Medium,,-0.33|1.9,
2020-01-08,7:15am,USD,ADP Non-Farm Employment Change,High,160K,124K,
2020-01-08,9:00am,USD,FOMC Member Brainard Speaks,Medium,,,
2020-01-08,9:30am,USD,Crude Oil Inventories,Low,-3.4M,-11.5M,
2020-01-08,10:26am,USD,President Trump Speaks,High,,,
2020-01-08,12:01pm,USD,10-y Bond Auction,Medium,,1.84|2.4,
2020-01-08,2:00pm,USD,Consumer Credit m/m,Medium,15.5B,19.0B,
2020-01-08,6:01pm,GBP,BRC Retail Sales Monitor y/y,Medium,-0.5%,-4.9%,
2020-01-08,9:35pm,JPY,30-y Bond Auction,Medium,,0.43|3.7,
2020-01-09,ThuJan 9,EUR,German Trade Balance,Medium,20.9B,20.4B,
2020-01-09,1:30am,CHF,Retail Sales y/y,Medium,0.5%,0.4%,
2020-01-09,2:00am,CHF,Foreign Currency Reserves,Medium,,783B,
2020-01-09,3:00am,EUR,Italian Monthly Unemployment Rate,Medium,9.8%,9.7%,
2020-01-09,3:30am,GBP,BOE Gov Carney Speaks,High,,,
2020-01-09,4:00am,EUR,Unemployment Rate,Medium,7.5%,7.5%,
2020-01-09,4:04am,EUR,French 10-y Bond Auction,Medium,,-0.08|2.0,
