date,time,currency,event,impact,actual,forecast,previous
2010-01-04,2:30am,CHF,Manufacturing PMI,Low,57.1,56.9,
2010-01-04,2:45am,EUR,Italian Manufacturing PMI,Medium,50.5,50.1,
2010-01-04,2:50am,EUR,French Final Manufacturing PMI,Medium,54.4,54.4,
2010-01-04,2:55am,EUR,German Final Manufacturing PMI,Medium,53.1,53.1,
2010-01-04,3:00am,EUR,Final Manufacturing PMI,Medium,51.6,51.6,
2010-01-04,3:30am,EUR,Sentix Investor Confidence,Medium,-3.4,-5.5,
2010-01-04,3:30am,GBP,Final Manufacturing PMI,High,52.1,51.8,
2010-01-04,3:30am,GBP,Net Lending to Individuals m/m,Low,0.6B,0.5B,
2010-01-04,3:30am,GBP,Mortgage Approvals,Medium,58K,58K,
2010-01-04,4:00am,EUR,Italian Prelim CPI m/m,Medium,0.1%,0.1%,
2010-01-04,9:00am,USD,ISM Manufacturing PMI,High,54.1,53.6,
2010-01-04,9:00am,USD,Construction Spending m/m,Medium,-0.4%,-0.5%,
2010-01-04,9:00am,USD,ISM Manufacturing Prices,Medium,57.7,55.0,
2010-01-04,12:00pm,USD,FOMC Member Duke Speaks,Medium,,,
2010-01-04,5:50pm,JPY,Monetary Base y/y,Medium,3.5%,3.8%,
2010-01-05,2:55am,EUR,German Unemployment Change,Low,6K,-1K,
2010-01-05,3:30am,GBP,Construction PMI,Low,47.6,47.0,
2010-01-05,4:00am,EUR,CPI Flash Estimate y/y,Low,0.9%,0.5%,
2010-01-05,7:00am,USD,FOMC Member Hoenig Speaks,Low,,,
2010-01-05,9:00am,USD,Pending Home Sales m/m,High,-2.3%,3.9%,
2010-01-05,9:00am,USD,Factory Orders m/m,Low,0.5%,0.8%,
2010-01-05,All Day,USD,Total Vehicle Sales,Medium,11.0M,10.9M,
2010-01-05,6:01pm,GBP,Nationwide Consumer Confidence,Low,72,74,
2010-01-05,6:01pm,GBP,BRC Shop Price Index y/y,Medium,,0.2%,
2010-01-05,9:45pm,JPY,10-y Bond Auction,Medium,,1.25|2.8,
2010-01-06,2:00am,CHF,Foreign Currency Reserves,High,,95B,
2010-01-06,2:15am,EUR,Spanish Services PMI,Medium,,46.1,
2010-01-06,2:45am,EUR,Italian Services PMI,Medium,51.9,49.8,
2010-01-06,2:50am,EUR,French Final Services PMI,Medium,59.3,59.3,
2010-01-06,2:55am,EUR,German Final Services PMI,Medium,53.1,53.1,
2010-01-06,3:00am,EUR,Final Services PMI,Medium,53.7,53.7,
2010-01-06,3:30am,GBP,Final Services PMI,High,56.7,56.6,
2010-01-06,4:00am,EUR,Industrial New Orders m/m,Low,-1.0%,1.7%,
2010-01-06,4:00am,EUR,PPI m/m,Medium,0.2%,0.3%,
2010-01-06,4:04am,EUR,German 10-y Bond Auction,Low,,3.37|1.4,
2010-01-06,6:30am,USD,Challenger Job Cuts y/y,Medium,,-72.3%,
2010-01-06,7:15am,USD,ADP Non-Farm Employment Change,High,-74K,-145K,
2010-01-06,9:00am,USD,ISM Services PMI,High,50.5,48.7,
2010-01-06,9:30am,USD,Crude Oil Inventories,Low,-0.4M,-1.5M,
2010-01-06,1:00pm,USD,FOMC Meeting Minutes,High,,,
2010-01-07,1:00am,EUR,German Retail Sales m/m,Low,0.4%,0.0%,
2010-01-07,2:15am,CHF,CPI m/m,Low,0.1%,0.2%,
2010-01-07,3:00am,GBP,Halifax HPI m/m,High,0.6%,1.3%,
2010-01-07,4:00am,EUR,Retail Sales m/m,Low,0.0%,0.2%,
2010-01-07,4:00am,EUR,Consumer Confidence,Medium,-16,-17,
2010-01-07,4:05am,EUR,French 10-y Bond Auction,Low,,3.62|2.1,
2010-01-07,5:00am,EUR,German Factory Orders m/m,Low,1.6%,-1.9%,
2010-01-07,6:00am,GBP,Asset Purchase Facility,High,200B,200B,
2010-01-07,6:00am,GBP,MPC Rate Statement,High,,,
2010-01-07,6:00am,GBP,Official Bank Rate,High,0.50%,0.50%,
2010-01-07,7:30am,USD,Unemployment Claims,High,449K,433K,
2010-01-07,9:30am,USD,Natural Gas Storage,Medium,-147B,-124B,
2010-01-07,12:00pm,USD,FOMC Member Hoenig Speaks,Low,,,
2010-01-07,11:00pm,JPY,Leading Indicators,Medium,91.4%,89.4%,
2010-01-08,1:00am,EUR,German Trade Balance,Medium,12.3B,12.7B,
2010-01-08,1:30am,USD,FOMC Member Bullard Speaks,Low,,,
2010-01-08,1:45am,EUR,French Trade Balance,Medium,-3.9B,-4.4B,
2010-01-08,3:30am,GBP,PPI Input m/m,High,-0.2%,0.1%,
2010-01-08,3:30am,GBP,PPI Output m/m,Medium,0.2%,0.2%,
2010-01-08,4:00am,EUR,Unemployment Rate,Low,9.9%,9.9%,
2010-01-08,4:00am,EUR,Final GDP q/q,Medium,0.4%,0.4%,
2010-01-08,4:00am,EUR,Italian Monthly Unemployment Rate,Medium,8.3%,8.2%,
2010-01-08,5:00am,EUR,German Industrial Production m/m,Low,1.1%,-1.7%,
2010-01-08,7:30am,USD,Non-Farm Employment Change,High,-3K,4K,
2010-01-08,7:30am,USD,Unemployment Rate,High,10.1%,10.0%,
2010-01-08,7:30am,USD,Average Hourly Earnings m/m,Low,0.2%,0.2%,
2010-01-08,9:00am,USD,Final Wholesale Inventories m/m,Medium,-0.2%,0.6%,
2010-01-08,9:15am,USD,FOMC Member Rosengren Speaks,Low,,,
2010-01-08,1:40pm,USD,President Obama Speaks,Medium,,,
2010-01-08,2:00pm,USD,Consumer Credit m/m,Medium,-4.9B,-4.2B,
2010-01-10,All Day,JPY,Bank Holiday,Low,,,
2010-01-10,8:10pm,USD,FOMC Member Bullard Speaks,Low,,,
2010-01-11,2:15am,CHF,Retail Sales y/y,High,1.9%,3.6%,
2010-01-11,4:16am,EUR,ECB President Trichet Speaks,Low,,,
2010-01-11,5:50pm,JPY,Bank Lending y/y,Medium,,0.2%,
2010-01-11,5:50pm,JPY,Current Account,Medium,1.22T,1.38T,
2010-01-11,5:50pm,JPY,M2 Money Stock y/y,Medium,3.3%,3.3%,
2010-01-11,6:01pm,GBP,BRC Retail Sales Monitor y/y,Low,,1.8%,
2010-01-11,6:01pm,GBP,RICS House Price Balance,Low,38%,35%,
2010-01-11,11:00pm,JPY,Economy Watchers Sentiment,Medium,34.2,33.9,
2010-01-12,3:30am,GBP,Goods Trade Balance,Low,-6.9B,-7.0B,
2010-01-12,3:30am,GBP,ONS HPI y/y,Medium,0.4%,-2.2%,
2010-01-12,6:30am,USD,NFIB Small Business Index,Medium,,88.3,
2010-01-12,7:30am,USD,Trade Balance,High,-34.9B,-33.2B,
2010-01-12,9:00am,USD,JOLTS Job Openings,Medium,,2.57M,
2010-01-12,9:00am,USD,RCM/TIPP Economic Optimism,Medium,49.2,46.8,
2010-01-13,1:45am,EUR,French Final CPI m/m,Medium,0.3%,0.1%,
2010-01-13,3:00am,EUR,Italian Industrial Production m/m,Medium,0.8%,0.7%,
2010-01-13,3:30am,GBP,Manufacturing Production m/m,High,0.3%,0.0%,
2010-01-13,3:30am,GBP,Industrial Production m/m,Medium,0.3%,-0.1%,
2010-01-13,7:30am,EUR,Spanish 10-y Bond Auction,Low,,3.89|2.1,
2010-01-13,9:00am,GBP,NIESR GDP Estimate,Low,,0.2%,
2010-01-13,9:30am,USD,Crude Oil Inventories,Low,1.2M,1.3M,
2010-01-13,12:00pm,USD,10-y Bond Auction,Low,,3.45|2.6,
2010-01-13,1:00pm,USD,Beige Book,Low,,,
2010-01-13,1:00pm,USD,Federal Budget Balance,Low,-88.9B,-120.3B,
2010-01-13,5:50pm,JPY,Core Machinery Orders m/m,Low,0.3%,-4.5%,
2010-01-13,5:50pm,JPY,PPI y/y,Medium,-3.8%,-5.0%,
2010-01-14,4:00am,EUR,Industrial Production m/m,Low,0.6%,-0.3%,
2010-01-14,6:45am,EUR,Main Refinancing Rate,High,1.00%,1.00%,
2010-01-14,7:30am,EUR,ECB Press Conference,High,,,
2010-01-14,7:30am,USD,Core Retail Sales m/m,High,0.3%,1.9%,
2010-01-14,7:30am,USD,Retail Sales m/m,High,0.4%,1.8%,
2010-01-14,7:30am,USD,Unemployment Claims,High,438K,433K,
2010-01-14,7:30am,USD,Import Prices m/m,Low,-0.1%,1.6%,
2010-01-14,9:00am,USD,Business Inventories m/m,Low,0.1%,0.4%,
