date,time,currency,event,impact,actual,forecast,previous
2022-01-11,4:50am,USD,NFIB Small Business Index,Medium,98.6,98.4,
2022-01-11,8:12am,USD,FOMC Member Mester Speaks,Medium,,,
2022-01-11,8:30am,USD,FOMC Member George Speaks,Medium,,,
2022-01-11,9:00am,USD,Fed Chairman Powell Testifies,High,,,
2022-01-11,9:00am,USD,RCM/TIPP Economic Optimism,Medium,50.2,48.4,
2022-01-11,3:30pm,USD,API Weekly Statistical Bulletin,Medium,,,
2022-01-11,5:50pm,JPY,Bank Lending y/y,Medium,0.7%,0.6%,
2022-01-11,5:50pm,JPY,Current Account,Medium,1.05T,1.03T,
2022-01-11,11:00pm,JPY,Economy Watchers Sentiment,Medium,56.2,56.3,
2022-01-12,4:00am,EUR,Industrial Production m/m,Medium,0.1%,-1.3%,
2022-01-12,4:35am,EUR,German 30-y Bond Auction,Medium,,0.08|1.1,
2022-01-12,7:30am,USD,Core CPI m/m,High,0.5%,0.5%,
2022-01-12,7:30am,USD,CPI m/m,High,0.4%,0.8%,
2022-01-12,7:30am,USD,CPI y/y,High,7.0%,6.8%,
2022-01-12,8:15am,GBP,MPC Member Cunliffe Speaks,Medium,,,
2022-01-12,9:30am,USD,Crude Oil Inventories,Low,-2.1M,-2.1M,
2022-01-12,12:01pm,USD,10-y Bond Auction,Low,,1.52|2.4,
2022-01-12,1:00pm,USD,Beige Book,Medium,,,
2022-01-12,1:00pm,USD,Federal Budget Balance,Medium,-5.8B,-191.3B,
2022-01-12,5:50pm,JPY,M2 Money Stock y/y,Medium,3.9%,4.0%,
2022-01-12,11:58pm,JPY,Prelim Machine Tool Orders y/y,Medium,,64.0%,
2022-01-13,2:45am,GBP,MPC Member Mann Speaks,Medium,,,
2022-01-13,3:00am,EUR,ECB Economic Bulletin,Medium,,,
2022-01-13,3:00am,EUR,Italian Industrial Production m/m,Medium,0.4%,-0.5%,
2022-01-13,3:30am,GBP,BOE Credit Conditions Survey,Medium,,,
2022-01-13,Tentative,GBP,10-y Bond Auction,Medium,,,
2022-01-13,7:30am,USD,PPI m/m,High,0.4%,0.8%,
2022-01-13,7:30am,USD,Core PPI m/m,Low,0.5%,0.7%,
2022-01-13,7:30am,USD,Unemployment Claims,Low,199K,207K,
2022-01-13,9:00am,USD,FOMC Member Brainard Speaks,Low,,,
2022-01-13,9:30am,USD,Natural Gas Storage,Medium,-175B,-31B,
2022-01-13,12:01pm,USD,30-y Bond Auction,Low,,1.90|2.2,
2022-01-13,5:50pm,JPY,PPI y/y,Medium,8.8%,9.2%,
2022-01-14,FriJan 14,GBP,GDP m/m,Medium,0.4%,0.2%,
2022-01-14,FriJan 14,GBP,Goods Trade Balance,Medium,-14.3B,-11.8B,
2022-01-14,FriJan 14,GBP,Index of Services 3m/3m,Medium,1.1%,1.2%,
2022-01-14,FriJan 14,GBP,Industrial Production m/m,Medium,0.2%,-0.5%,
2022-01-14,FriJan 14,GBP,Manufacturing Production m/m,Medium,0.2%,0.1%,
2022-01-14,1:45am,EUR,French Final CPI m/m,Medium,0.2%,0.2%,
2022-01-14,1:45am,EUR,French Gov Budget Balance,Medium,,-171.6B,
2022-01-14,4:00am,EUR,Trade Balance,Medium,1.5B,1.8B,
2022-01-14,7:15am,EUR,ECB President Lagarde Speaks,Low,,,
2022-01-14,7:30am,USD,Core Retail Sales m/m,High,0.2%,0.1%,
2022-01-14,7:30am,USD,Retail Sales m/m,High,0.0%,0.2%,
2022-01-14,7:30am,USD,Import Prices m/m,Medium,0.2%,0.7%,
2022-01-14,8:15am,USD,Industrial Production m/m,Low,0.2%,0.7%,
2022-01-14,8:15am,USD,Capacity Utilization Rate,Medium,77.1%,76.6%,
