date,time,currency,event,impact,actual,forecast,previous
2018-01-01,All Day,EUR,French Bank Holiday,Low,,,
2018-01-01,All Day,EUR,German Bank Holiday,Low,,,
2018-01-01,All Day,EUR,Italian Bank Holiday,Low,,,
2018-01-01,All Day,GBP,Bank Holiday,Low,,,
2018-01-01,All Day,USD,Bank Holiday,Low,,,
2018-01-01,All Day,JPY,Bank Holiday,Low,,,
2018-01-02,2:15am,EUR,Spanish Manufacturing PMI,Medium,56.4,56.1,
2018-01-02,2:45am,EUR,Italian Manufacturing PMI,Medium,58.6,58.3,
2018-01-02,2:50am,EUR,French Final Manufacturing PMI,Medium,59.3,59.3,
2018-01-02,2:55am,EUR,German Final Manufacturing PMI,Medium,63.3,63.3,
2018-01-02,3:00am,EUR,Final Manufacturing PMI,Medium,60.6,60.6,
2018-01-02,3:30am,GBP,Final Manufacturing PMI,High,58.0,58.2,
2018-01-02,3:36am,GBP,Housing Equity Withdrawal q/q,Medium,-6.2B,-5.8B,
2018-01-02,8:45am,USD,Final Manufacturing PMI,Medium,55.0,55.0,
2018-01-02,All Day,JPY,Bank Holiday,Low,,,
2018-01-03,2:30am,CHF,Manufacturing PMI,Medium,64.6,65.1,
2018-01-03,2:55am,EUR,German Unemployment Change,Medium,-13K,-20K,
2018-01-03,3:30am,GBP,Construction PMI,High,52.8,53.1,
2018-01-03,9:00am,USD,ISM Manufacturing PMI,High,58.1,58.2,
2018-01-03,9:00am,USD,Construction Spending m/m,Medium,0.6%,0.9%,
2018-01-03,9:00am,USD,ISM Manufacturing Prices,Medium,64.8,65.5,
2018-01-03,All Day,USD,Wards Total Vehicle Sales,Medium,17.5M,17.4M,
2018-01-03,All Day,USD,Total Vehicle Sales,Medium,17.5M,17.5M,
2018-01-03,1:00pm,USD,FOMC Meeting Minutes,High,,,
2018-01-03,3:30pm,USD,API Weekly Statistical Bulletin,Medium,,,
2018-01-03,6:30pm,JPY,Final Manufacturing PMI,Medium,54.2,54.2,
2018-01-04,2:15am,EUR,Spanish Services PMI,Medium,54.7,54.4,
2018-01-04,2:45am,EUR,Italian Services PMI,Medium,54.7,54.7,
2018-01-04,2:50am,EUR,French Final Services PMI,Medium,59.4,59.4,
2018-01-04,2:55am,EUR,German Final Services PMI,Medium,55.8,55.8,
2018-01-04,3:00am,EUR,Final Services PMI,Medium,56.5,56.5,
2018-01-04,3:30am,GBP,Final Services PMI,High,54.1,53.8,
2018-01-04,3:30am,GBP,Net Lending to Individuals m/m,Low,4.9B,4.7B,
2018-01-04,3:30am,GBP,M4 Money Supply m/m,Medium,0.4%,0.6%,
2018-01-04,3:30am,GBP,Mortgage Approvals,Medium,64K,65K,
2018-01-04,3:51am,EUR,Spanish 10-y Bond Auction,Medium,,1.49|2.0,
2018-01-04,4:01am,EUR,French 10-y Bond Auction,Medium,,0.36|1.9,
2018-01-04,6:30am,USD,Challenger Job Cuts y/y,Medium,,30.1%,
2018-01-04,7:15am,USD,ADP Non-Farm Employment Change,High,191K,185K,
2018-01-04,7:30am,USD,Unemployment Claims,High,241K,247K,
2018-01-04,8:45am,USD,Final Services PMI,Medium,52.4,52.4,
2018-01-04,9:30am,USD,Natural Gas Storage,Medium,-221B,-112B,
2018-01-04,10:00am,USD,Crude Oil Inventories,High,-5.2M,-4.6M,
2018-01-04,5:50pm,JPY,Monetary Base y/y,Medium,13.1%,13.2%,
2018-01-04,6:01pm,GBP,BRC Shop Price Index y/y,Medium,,-0.1%,
2018-01-05,1:45am,EUR,French Prelim CPI m/m,Medium,0.3%,0.1%,
2018-01-05,3:10am,EUR,Retail PMI,Medium,,52.4,
2018-01-05,4:00am,EUR,CPI Flash Estimate y/y,High,1.4%,1.5%,
2018-01-05,4:00am,EUR,Core CPI Flash Estimate y/y,Low,1.0%,0.9%,
2018-01-05,4:00am,EUR,PPI m/m,Medium,0.3%,0.4%,
2018-01-05,4:00am,EUR,Italian Prelim CPI m/m,Medium,0.2%,-0.2%,
2018-01-05,7:30am,USD,Average Hourly Earnings m/m,High,0.3%,0.1%,
2018-01-05,7:30am,USD,Non-Farm Employment Change,High,190K,252K,
2018-01-05,7:30am,USD,Unemployment Rate,High,4.1%,4.1%,
2018-01-05,7:30am,USD,Trade Balance,Medium,-49.7B,-48.9B,
2018-01-05,9:00am,USD,ISM Services PMI,High,57.6,57.4,
2018-01-05,9:00am,USD,Factory Orders m/m,Medium,1.1%,0.4%,
2018-01-05,11:30am,USD,FOMC Member Mester Speaks,Low,,,
2018-01-07,All Day,JPY,Bank Holiday,Low,,,
2018-01-08,2:15am,CHF,CPI m/m,Medium,-0.1%,-0.1%,
2018-01-08,2:30am,GBP,Halifax HPI m/m,Low,0.2%,0.3%,
2018-01-08,3:30am,EUR,Sentix Investor Confidence,Medium,31.5,31.1,
2018-01-08,4:00am,EUR,Retail Sales m/m,Medium,1.4%,-1.1%,
2018-01-08,11:40am,USD,FOMC Member Bostic Speaks,Low,,,
2018-01-08,12:35pm,USD,FOMC Member Williams Speaks,Low,,,
2018-01-08,2:00pm,USD,Consumer Credit m/m,Medium,17.8B,20.5B,
2018-01-08,6:00pm,JPY,Average Cash Earnings y/y,Medium,0.6%,0.2%,
2018-01-08,6:01pm,GBP,BRC Retail Sales Monitor y/y,Medium,,0.6%,
2018-01-08,11:00pm,JPY,Consumer Confidence,Medium,45.1,44.9,
2018-01-09,1:00am,EUR,German Industrial Production m/m,Medium,1.9%,-1.2%,
2018-01-09,1:00am,EUR,German Trade Balance,Medium,20.7B,19.9B,
2018-01-09,1:45am,EUR,French Trade Balance,Medium,-4.8B,-5.3B,
2018-01-09,2:00am,CHF,Foreign Currency Reserves,Medium,,738B,
2018-01-09,2:15am,CHF,Retail Sales y/y,Medium,-2.5%,-2.6%,
2018-01-09,3:00am,EUR,Italian Monthly Unemployment Rate,Medium,11.0%,11.1%,
2018-01-09,4:00am,EUR,Unemployment Rate,Medium,8.7%,8.8%,
2018-01-09,4:37am,GBP,10-y Bond Auction,Medium,,1.34|2.3,
2018-01-09,5:00am,USD,NFIB Small Business Index,Medium,108.4,107.5,
2018-01-09,9:00am,USD,JOLTS Job Openings,Medium,6.05M,5.93M,
2018-01-09,3:30pm,USD,API Weekly Statistical Bulletin,Medium,,,
2018-01-09,9:45pm,JPY,10-y Bond Auction,Medium,,0.06|3.7,
2018-01-10,3:30am,GBP,Manufacturing Production m/m,High,0.3%,0.3%,
2018-01-10,3:30am,GBP,Goods Trade Balance,Low,-10.9B,-11.7B,
2018-01-10,3:30am,GBP,Construction Output m/m,Medium,0.7%,-1.1%,
2018-01-10,3:30am,GBP,Industrial Production m/m,Medium,0.4%,0.2%,
2018-01-10,4:32am,EUR,German 10-y Bond Auction,Medium,,0.30|1.1,
2018-01-10,6:13am,GBP,NIESR GDP Estimate,Medium,,0.6%,
2018-01-10,7:30am,USD,Import Prices m/m,Low,0.4%,0.8%,
2018-01-10,9:00am,USD,Final Wholesale Inventories m/m,Medium,0.7%,0.7%,
2018-01-10,9:30am,USD,Crude Oil Inventories,High,-3.9M,-7.4M,
2018-01-10,12:01pm,USD,10-y Bond Auction,Medium,,2.38|2.4,
2018-01-10,11:00pm,JPY,Leading Indicators,Medium,108.7%,106.5%,
2018-01-11,3:30am,GBP,BOE Credit Conditions Survey,Low,,,
2018-01-11,4:00am,EUR,Industrial Production m/m,Medium,0.8%,0.4%,
