date,time,currency,event,impact,actual,forecast,previous
2021-01-04,2:30am,CHF,Manufacturing PMI,Medium,54.4,55.2,
2021-01-04,2:45am,EUR,Italian Manufacturing PMI,Medium,53.5,51.5,
2021-01-04,2:50am,EUR,French Final Manufacturing PMI,Medium,51.1,51.1,
2021-01-04,2:55am,EUR,German Final Manufacturing PMI,Medium,58.6,58.6,
2021-01-04,3:00am,EUR,Final Manufacturing PMI,Medium,55.5,55.5,
2021-01-04,3:30am,GBP,Final Manufacturing PMI,Low,57.3,57.3,
2021-01-04,3:30am,GBP,M4 Money Supply m/m,Medium,0.4%,0.7%,
2021-01-04,3:30am,GBP,Mortgage Approvals,Medium,82K,98K,
2021-01-04,3:30am,GBP,Net Lending to Individuals m/m,Medium,3.0B,3.8B,
2021-01-04,8:45am,USD,Final Manufacturing PMI,Medium,56.3,56.5,
2021-01-04,9:00am,USD,Construction Spending m/m,Medium,1.1%,1.6%,
2021-01-04,9:00am,USD,FOMC Member Bostic Speaks,Medium,,,
2021-01-04,9:00am,USD,FOMC Member Evans Speaks,Medium,,,
2021-01-04,5:50pm,JPY,Monetary Base y/y,Medium,18.0%,16.5%,
2021-01-05,1:30am,CHF,CPI m/m,Medium,0.0%,-0.2%,
2021-01-05,2:00am,EUR,Spanish Unemployment Change,Medium,30.5K,25.3K,
2021-01-05,2:55am,EUR,German Unemployment Change,Medium,10K,-40K,
2021-01-05,3:00am,EUR,M3 Money Supply y/y,Medium,10.6%,10.5%,
2021-01-05,3:00am,EUR,Private Loans y/y,Medium,3.3%,3.2%,
2021-01-05,9:00am,USD,ISM Manufacturing PMI,Low,56.6,57.5,
2021-01-05,9:00am,USD,ISM Manufacturing Prices,Medium,66.0,65.4,
2021-01-05,All Day,USD,Wards Total Vehicle Sales,Medium,15.8M,15.6M,
2021-01-05,2:45pm,USD,FOMC Member Evans Speaks,Medium,,,
2021-01-05,3:30pm,USD,API Weekly Statistical Bulletin,Medium,,,
2021-01-05,6:01pm,GBP,BRC Shop Price Index y/y,Medium,,-1.8%,
2021-01-05,9:35pm,JPY,10-y Bond Auction,Medium,,0.02|3.4,
2021-01-05,11:00pm,JPY,Consumer Confidence,Medium,32.6,33.7,
2021-01-06,All Day,EUR,German Prelim CPI m/m,Medium,0.6%,-0.8%,
2021-01-06,1:45am,EUR,French Prelim CPI m/m,Medium,0.4%,0.2%,
2021-01-06,2:15am,EUR,Spanish Services PMI,Medium,44.5,39.5,
2021-01-06,2:45am,EUR,Italian Services PMI,Medium,45.0,39.4,
2021-01-06,2:50am,EUR,French Final Services PMI,Medium,49.2,49.2,
2021-01-06,2:55am,EUR,German Final Services PMI,Medium,47.7,47.7,
2021-01-06,3:00am,EUR,Final Services PMI,Medium,47.4,47.3,
2021-01-06,3:30am,GBP,Final Services PMI,Medium,49.9,49.9,
2021-01-06,4:00am,EUR,PPI m/m,Medium,0.2%,0.4%,
2021-01-06,4:05am,GBP,10-y Bond Auction,Medium,,0.43|2.7,
2021-01-06,4:36am,EUR,German 10-y Bond Auction,Medium,,-0.57|2.0,
2021-01-06,7:15am,USD,ADP Non-Farm Employment Change,Low,60K,304K,
2021-01-06,8:30am,GBP,BOE Gov Bailey Speaks,High,,,
2021-01-06,8:45am,USD,Final Services PMI,Medium,55.2,55.3,
2021-01-06,9:00am,USD,Factory Orders m/m,Medium,0.7%,1.3%,
2021-01-06,9:30am,USD,Crude Oil Inventories,Medium,-2.8M,-6.1M,
2021-01-06,1:00pm,USD,FOMC Meeting Minutes,High,,,
2021-01-06,5:30pm,JPY,Average Cash Earnings y/y,Medium,-0.9%,-0.7%,
2021-01-07,1:30am,CHF,Retail Sales y/y,Medium,3.5%,4.3%,
2021-01-07,3:00am,EUR,ECB Economic Bulletin,Medium,,,
2021-01-07,3:30am,GBP,Construction PMI,Medium,54.6,54.7,
2021-01-07,3:32am,GBP,Housing Equity Withdrawal q/q,Medium,-7.0B,-9.0B,
2021-01-07,4:00am,EUR,Core CPI Flash Estimate y/y,Medium,0.2%,0.2%,
2021-01-07,4:00am,EUR,CPI Flash Estimate y/y,Medium,-0.2%,-0.3%,
2021-01-07,4:00am,EUR,Italian Prelim CPI m/m,Medium,0.2%,-0.1%,
2021-01-07,4:00am,EUR,Retail Sales m/m,Medium,-3.4%,1.4%,
2021-01-07,4:04am,EUR,French 10-y Bond Auction,Medium,,-0.26|2.1,
2021-01-07,6:30am,USD,Challenger Job Cuts y/y,Medium,,45.4%,
2021-01-07,7:30am,USD,Unemployment Claims,Low,798K,790K,
2021-01-07,7:30am,USD,Trade Balance,Medium,-66.7B,-63.1B,
2021-01-07,9:00am,USD,ISM Services PMI,Low,54.5,55.9,
2021-01-07,9:30am,USD,Natural Gas Storage,Medium,-142B,-114B,
2021-01-07,12:00pm,USD,FOMC Member Evans Speaks,Medium,,,
2021-01-07,5:30pm,JPY,Household Spending y/y,Medium,-1.0%,1.9%,
2021-01-07,9:35pm,JPY,30-y Bond Auction,Medium,,0.65|3.5,
2021-01-07,11:00pm,JPY,Leading Indicators,Medium,96.6%,94.3%,
2021-01-08,1:00am,EUR,German Industrial Production m/m,Medium,0.7%,3.4%,
2021-01-08,1:00am,EUR,German Trade Balance,Medium,18.5B,18.2B,
2021-01-08,1:45am,EUR,French Consumer Spending m/m,Medium,-15.8%,3.9%,
2021-01-08,1:45am,EUR,French Industrial Production m/m,Medium,-1.0%,1.9%,
2021-01-08,1:45am,EUR,French Trade Balance,Medium,-4.9B,-4.6B,
2021-01-08,2:02am,CHF,Foreign Currency Reserves,Medium,,877B,
2021-01-08,2:30am,GBP,Halifax HPI m/m,Medium,1.0%,1.0%,
2021-01-08,4:00am,EUR,Italian Monthly Unemployment Rate,Medium,10.0%,9.5%,
2021-01-08,4:00am,EUR,Unemployment Rate,Medium,8.5%,8.4%,
2021-01-08,7:30am,USD,Average Hourly Earnings m/m,High,0.2%,0.3%,
2021-01-08,7:30am,USD,Non-Farm Employment Change,High,60K,336K,
2021-01-08,7:30am,USD,Unemployment Rate,High,6.8%,6.7%,
2021-01-08,9:00am,USD,Final Wholesale Inventories m/m,Medium,-0.1%,-0.1%,
2021-01-08,10:00am,USD,FOMC Member Clarida Speaks,Medium,,,
2021-01-08,2:00pm,USD,Consumer Credit m/m,Medium,9.0B,4.5B,
2021-01-10,All Day,JPY,Bank Holiday,Low,,,
2021-01-11,8:00am,GBP,MPC Member Tenreyro Speaks,Medium,,,
