date,time,currency,event,impact,actual,forecast,previous
2024-01-01,All Day,EUR,French Bank Holiday,Low,,,
2024-01-01,All Day,EUR,German Bank Holiday,Low,,,
2024-01-01,All Day,EUR,Italian Bank Holiday,Low,,,
2024-01-01,All Day,GBP,Bank Holiday,Low,,,
2024-01-01,All Day,USD,Bank Holiday,Low,,,
2024-01-01,All Day,JPY,Bank Holiday,Low,,,
2024-01-01,6:01pm,GBP,BRC Shop Price Index y/y,Medium,,4.3%,
2024-01-02,2:15am,EUR,Spanish Manufacturing PMI,Medium,46.3,46.3,
2024-01-02,2:45am,EUR,Italian Manufacturing PMI,Medium,44.3,44.4,
2024-01-02,2:50am,EUR,French Final Manufacturing PMI,Medium,42.0,42.0,
2024-01-02,2:55am,EUR,German Final Manufacturing PMI,Medium,43.1,43.1,
2024-01-02,3:00am,EUR,Final Manufacturing PMI,Medium,44.2,44.2,
2024-01-02,3:00am,EUR,M3 Money Supply y/y,Medium,-1.0%,-1.0%,
2024-01-02,3:00am,EUR,Private Loans y/y,Medium,0.8%,0.6%,
2024-01-02,3:30am,GBP,Final Manufacturing PMI,Medium,46.4,46.4,
2024-01-02,8:45am,USD,Final Manufacturing PMI,Medium,48.4,48.2,
2024-01-02,9:00am,USD,Construction Spending m/m,Medium,0.6%,1.2%,
2024-01-02,All Day,JPY,Bank Holiday,Low,,,
2024-01-03,2:30am,CHF,Manufacturing PMI,Medium,43.0,42.1,
2024-01-03,2:55am,EUR,German Unemployment Change,Medium,20K,21K,
2024-01-03,7:30am,USD,FOMC Member Barkin Speaks,Low,,,
2024-01-03,9:00am,USD,ISM Manufacturing PMI,High,47.2,46.7,
2024-01-03,9:00am,USD,JOLTS Job Openings,High,8.84M,8.85M,
2024-01-03,9:00am,USD,ISM Manufacturing Prices,Low,49.5,49.9,
2024-01-03,All Day,USD,Wards Total Vehicle Sales,Medium,15.5M,15.3M,
2024-01-03,1:00pm,USD,FOMC Meeting Minutes,High,,,
2024-01-03,3:30pm,USD,API Weekly Statistical Bulletin,Medium,,,
2024-01-03,6:30pm,JPY,Final Manufacturing PMI,Medium,47.7,47.7,
2024-01-04,1:45am,EUR,French Prelim CPI m/m,Medium,0.2%,-0.2%,
