date,time,currency,event,impact,actual,forecast,previous
2019-01-07,MonJan 7,EUR,German Retail Sales m/m,Medium,0.4%,0.1%,
2019-01-07,3:30am,EUR,Sentix Investor Confidence,Medium,-2.0,-0.3,
2019-01-07,4:00am,EUR,Retail Sales m/m,Medium,0.2%,0.6%,
2019-01-07,9:00am,USD,ISM Services PMI,High,59.6,60.7,
2019-01-07,9:35pm,JPY,10-y Bond Auction,Medium,,0.07|3.8,
2019-01-07,11:07pm,JPY,Consumer Confidence,Medium,42.8,42.9,
2019-01-08,1:00am,EUR,German Industrial Production m/m,Medium,0.3%,-0.8%,
2019-01-08,1:30am,CHF,Retail Sales y/y,Medium,-0.7%,1.0%,
2019-01-08,1:45am,EUR,French Trade Balance,Medium,-4.9B,-4.1B,
2019-01-08,2:30am,GBP,Halifax HPI m/m,Medium,0.5%,-1.2%,
2019-01-08,4:20am,USD,NFIB Small Business Index,Medium,103.1,104.8,
2019-01-08,4:37am,GBP,10-y Bond Auction,Medium,,1.49|2.0,
2019-01-08,9:00am,USD,JOLTS Job Openings,Medium,7.07M,7.13M,
2019-01-08,2:00pm,USD,Consumer Credit m/m,Medium,17.3B,25.0B,
2019-01-08,3:30pm,USD,API Weekly Statistical Bulletin,Medium,,,
2019-01-08,6:00pm,JPY,Average Cash Earnings y/y,Low,1.3%,1.5%,
2019-01-08,8:00pm,USD,President Trump Speaks,High,,,
2019-01-09,1:30am,CHF,CPI m/m,Medium,-0.2%,-0.3%,
2019-01-09,2:00am,CHF,Foreign Currency Reserves,Medium,,749B,
2019-01-09,3:00am,EUR,Italian Monthly Unemployment Rate,Medium,10.5%,10.6%,
2019-01-09,4:00am,EUR,Unemployment Rate,Medium,8.1%,8.0%,
2019-01-09,4:32am,EUR,German 10-y Bond Auction,Medium,,0.34|1.6,
2019-01-09,8:00am,USD,FOMC Member Evans Speaks,Low,,,
2019-01-09,9:30am,GBP,BOE Gov Carney Speaks,High,,,
