date,time,currency,event,impact,actual,forecast,previous
2014-01-06,All Day,EUR,German Prelim CPI m/m,Low,0.4%,0.2%,
2014-01-06,2:15am,EUR,Spanish Services PMI,Low,51.1,51.5,
2014-01-06,2:45am,EUR,Italian Services PMI,Low,48.9,47.2,
2014-01-06,2:50am,EUR,French Final Services PMI,Medium,47.4,47.4,
2014-01-06,2:55am,EUR,German Final Services PMI,Medium,54.0,54.0,
2014-01-06,3:00am,EUR,Final Services PMI,Medium,51.2,51.0,
2014-01-06,3:30am,EUR,Sentix Investor Confidence,Medium,9.7,8.0,
2014-01-06,3:30am,GBP,Final Services PMI,High,60.4,60.0,
2014-01-06,8:00am,USD,Final Services PMI,Medium,56.0,56.0,
2014-01-06,9:00am,USD,ISM Services PMI,High,54.6,53.9,
2014-01-06,9:00am,USD,Factory Orders m/m,Low,1.8%,-0.5%,
2014-01-06,5:00pm,USD,Fed Chair Nomination Vote,High,Pass,,
2014-01-06,5:50pm,JPY,Monetary Base y/y,Medium,55.2%,52.5%,
2014-01-06,9:45pm,JPY,10-y Bond Auction,Medium,,0.65|4.0,
2014-01-07,2:00am,CHF,Foreign Currency Reserves,Low,,436B,
2014-01-07,2:55am,EUR,German Unemployment Change,Low,-1K,9K,
2014-01-07,4:00am,EUR,CPI Flash Estimate y/y,High,0.9%,0.9%,
2014-01-07,4:00am,EUR,Core CPI Flash Estimate y/y,Low,,0.9%,
2014-01-07,4:00am,EUR,PPI m/m,Medium,-0.1%,-0.5%,
2014-01-07,7:30am,USD,Trade Balance,High,-40.2B,-39.3B,
2014-01-07,6:01pm,GBP,BRC Shop Price Index y/y,Medium,,-0.3%,
2014-01-08,1:59am,GBP,Halifax HPI m/m,Low,0.6%,0.9%,
2014-01-08,3:00am,EUR,Italian Monthly Unemployment Rate,Medium,12.6%,12.5%,
2014-01-08,3:30am,GBP,BOE Credit Conditions Survey,Low,,,
2014-01-08,4:00am,EUR,Retail Sales m/m,Low,0.2%,-0.4%,
2014-01-08,4:00am,EUR,Unemployment Rate,Low,12.1%,12.1%,
2014-01-08,5:00am,EUR,German Factory Orders m/m,Low,1.2%,-2.1%,
2014-01-08,7:15am,USD,ADP Non-Farm Employment Change,High,199K,229K,
2014-01-08,9:30am,USD,Crude Oil Inventories,Low,-1.6M,-7.0M,
