date,time,currency,event,impact,actual,forecast,previous
2011-01-03,All Day,EUR,Italian Bank Holiday,Low,,,
2011-01-03,All Day,EUR,French Bank Holiday,Low,,,
2011-01-03,All Day,GBP,Bank Holiday,Low,,,
2011-01-03,2:15am,EUR,Spanish Manufacturing PMI,Low,,50.0,
2011-01-03,2:30am,CHF,Manufacturing PMI,Low,61.7,61.8,
2011-01-03,2:45am,EUR,Italian Manufacturing PMI,Low,52.3,52.0,
2011-01-03,2:50am,EUR,French Final Manufacturing PMI,Medium,56.3,56.3,
2011-01-03,2:55am,EUR,German Final Manufacturing PMI,Medium,60.9,60.9,
2011-01-03,3:00am,EUR,Final Manufacturing PMI,Medium,56.9,56.8,
2011-01-03,9:00am,USD,ISM Manufacturing PMI,High,57.0,56.6,
2011-01-03,9:00am,USD,Construction Spending m/m,Medium,0.2%,0.7%,
2011-01-03,9:00am,USD,ISM Manufacturing Prices,Medium,71.2,69.5,
2011-01-04,2:55am,EUR,German Unemployment Change,Low,-12K,-8K,
2011-01-04,3:30am,GBP,Final Manufacturing PMI,High,57.3,57.5,
2011-01-04,3:30am,GBP,Net Lending to Individuals m/m,Low,0.9B,1.5B,
2011-01-04,3:30am,GBP,M4 Money Supply m/m,Medium,0.4%,0.7%,
2011-01-04,3:30am,GBP,Mortgage Approvals,Medium,47K,47K,
2011-01-04,4:00am,EUR,CPI Flash Estimate y/y,Low,2.0%,1.9%,
2011-01-04,4:00am,EUR,Italian Prelim CPI m/m,Medium,0.2%,0.0%,
2011-01-04,9:00am,USD,Factory Orders m/m,Low,-0.1%,-0.7%,
2011-01-04,All Day,USD,Total Vehicle Sales,Medium,12.3M,12.3M,
2011-01-04,1:00pm,USD,FOMC Meeting Minutes,High,,,
2011-01-04,5:50pm,JPY,Monetary Base y/y,Medium,7.9%,7.6%,
2011-01-05,2:45am,EUR,Italian Services PMI,Medium,53.6,54.4,
2011-01-05,2:50am,EUR,French Final Services PMI,Medium,54.1,54.1,
2011-01-05,2:55am,EUR,German Final Services PMI,Medium,58.3,58.3,
2011-01-05,3:00am,EUR,Final Services PMI,Medium,53.7,53.7,
2011-01-05,3:30am,GBP,Construction PMI,Low,51.1,51.8,
2011-01-05,4:00am,EUR,Industrial New Orders m/m,Low,1.3%,-4.2%,
2011-01-05,4:00am,EUR,PPI m/m,Medium,0.3%,0.4%,
2011-01-05,4:05am,EUR,German 10-y Bond Auction,Low,,2.59|1.2,
2011-01-05,6:30am,USD,Challenger Job Cuts y/y,Medium,,-3.3%,
2011-01-05,7:15am,USD,ADP Non-Farm Employment Change,High,101K,92K,
2011-01-05,9:00am,USD,ISM Services PMI,High,55.6,55.0,
2011-01-05,9:30am,USD,Crude Oil Inventories,Low,-1.4M,-1.3M,
2011-01-05,9:45pm,JPY,10-y Bond Auction,Medium,,1.19|2.4,
2011-01-06,2:15am,CHF,CPI m/m,Low,-0.1%,0.2%,
2011-01-06,3:27am,CHF,Foreign Currency Reserves,High,,212B,
2011-01-06,3:30am,GBP,Final Services PMI,High,52.9,53.0,
2011-01-06,3:30am,GBP,BOE Credit Conditions Survey,Low,,,
2011-01-06,4:00am,EUR,French 10-y Bond Auction,Low,,2.87|1.9,
2011-01-06,4:00am,EUR,Retail Sales m/m,Low,0.3%,0.0%,
2011-01-06,4:38am,GBP,10-y Bond Auction,Low,,3.45|1.8,
2011-01-06,5:00am,EUR,German Factory Orders m/m,Low,1.0%,1.6%,
2011-01-06,7:30am,USD,Unemployment Claims,High,400K,391K,
2011-01-06,9:30am,USD,Natural Gas Storage,Medium,-135B,-136B,
2011-01-07,1:00am,EUR,German Retail Sales m/m,Low,0.6%,0.1%,
2011-01-07,1:00am,EUR,German Trade Balance,Medium,14.5B,14.2B,
2011-01-07,1:45am,EUR,French Trade Balance,Medium,-4.0B,-3.7B,
2011-01-07,3:00am,EUR,ECB President Trichet Speaks,Low,,,
2011-01-07,3:00am,EUR,Italian Monthly Unemployment Rate,Medium,8.6%,8.7%,
2011-01-07,4:00am,EUR,Unemployment Rate,Low,10.1%,10.1%,
2011-01-07,4:00am,EUR,Final GDP q/q,Medium,0.4%,0.4%,
2011-01-07,5:00am,EUR,German Industrial Production m/m,Low,-0.1%,3.0%,
2011-01-07,7:30am,USD,Non-Farm Employment Change,High,159K,71K,
2011-01-07,7:30am,USD,Unemployment Rate,High,9.7%,9.8%,
2011-01-07,7:30am,USD,Average Hourly Earnings m/m,Low,0.2%,0.0%,
2011-01-07,8:30am,USD,Fed Chairman Bernanke Testifies,High,,,
2011-01-07,10:35am,USD,President Obama Speaks,Medium,,,
2011-01-07,12:30pm,USD,FOMC Member Duke Speaks,Medium,,,
2011-01-07,2:00pm,USD,Consumer Credit m/m,Medium,0.1B,7.0B,
2011-01-07,3:30pm,USD,FOMC Member Evans Speaks,Low,,,
2011-01-09,All Day,JPY,Bank Holiday,Low,,,
2011-01-10,2:00am,GBP,Halifax HPI m/m,High,-0.3%,-0.2%,
2011-01-10,2:15am,CHF,Retail Sales y/y,High,2.2%,3.5%,
2011-01-10,3:30am,EUR,Sentix Investor Confidence,Medium,11.9,9.7,
2011-01-10,6:00am,EUR,ECB President Trichet Speaks,High,,,
2011-01-10,6:00pm,GBP,BRC Retail Sales Monitor y/y,Low,,0.7%,
2011-01-10,11:00pm,JPY,Leading Indicators,Medium,100.9%,97.2%,
2011-01-11,7:30am,USD,FOMC Member Plosser Speaks,Low,,,
2011-01-11,9:00am,USD,Final Wholesale Inventories m/m,Medium,1.1%,1.7%,
2011-01-11,9:00am,USD,JOLTS Job Openings,Medium,,3.33M,
2011-01-11,1:00pm,USD,FOMC Member Kocherlakota Speaks,Low,,,
2011-01-11,5:50pm,JPY,Bank Lending y/y,Medium,,-2.0%,
2011-01-11,5:50pm,JPY,Current Account,Medium,0.99T,1.46T,
2011-01-11,5:50pm,JPY,M2 Money Stock y/y,Medium,2.6%,2.6%,
2011-01-11,6:01pm,GBP,BRC Shop Price Index y/y,Medium,,2.0%,
2011-01-11,6:22pm,USD,RCM/TIPP Economic Optimism,Medium,47.1,45.8,
2011-01-11,11:00pm,JPY,Economy Watchers Sentiment,Medium,44.9,43.6,
2011-01-12,3:00am,EUR,Italian Industrial Production m/m,Medium,0.7%,-0.1%,
2011-01-12,3:30am,GBP,Goods Trade Balance,Low,-8.2B,-8.6B,
2011-01-12,4:00am,EUR,Industrial Production m/m,Low,0.5%,0.7%,
2011-01-12,7:30am,USD,Import Prices m/m,Low,1.3%,1.5%,
