date,time,currency,event,impact,actual,forecast,previous
2017-01-02,All Day,GBP,Bank Holiday,Low,,,
2017-01-02,2:15am,EUR,Spanish Manufacturing PMI,Low,54.6,54.5,
2017-01-02,2:45am,EUR,Italian Manufacturing PMI,Medium,52.3,52.2,
2017-01-02,2:50am,EUR,French Final Manufacturing PMI,Medium,53.5,53.5,
2017-01-02,2:55am,EUR,German Final Manufacturing PMI,Medium,55.5,55.5,
2017-01-02,3:00am,EUR,Final Manufacturing PMI,Medium,54.9,54.9,
2017-01-02,All Day,USD,Bank Holiday,Low,,,
2017-01-02,All Day,JPY,Bank Holiday,Low,,,
2017-01-03,1:45am,EUR,French Prelim CPI m/m,Medium,0.5%,0.0%,
2017-01-03,2:30am,CHF,Manufacturing PMI,Medium,56.1,56.6,
2017-01-03,2:55am,EUR,German Unemployment Change,Low,-5K,-6K,
2017-01-03,3:30am,GBP,Final Manufacturing PMI,High,53.3,53.6,
2017-01-03,8:45am,USD,Final Manufacturing PMI,Medium,54.2,54.2,
2017-01-03,9:00am,USD,ISM Manufacturing PMI,High,53.7,53.2,
2017-01-03,9:00am,USD,Construction Spending m/m,Medium,0.5%,0.6%,
2017-01-03,9:00am,USD,ISM Manufacturing Prices,Medium,55.6,54.5,
2017-01-03,6:01pm,GBP,BRC Shop Price Index y/y,Medium,,-1.7%,
2017-01-03,6:30pm,JPY,Final Manufacturing PMI,Medium,51.9,51.9,
2017-01-04,2:15am,EUR,Spanish Services PMI,Medium,54.8,55.1,
2017-01-04,2:45am,EUR,Italian Services PMI,Medium,52.7,53.3,
2017-01-04,2:50am,EUR,French Final Services PMI,Medium,52.6,52.6,
2017-01-04,2:55am,EUR,German Final Services PMI,Medium,53.8,53.8,
2017-01-04,3:00am,EUR,Final Services PMI,Medium,53.1,53.1,
2017-01-04,3:30am,GBP,Construction PMI,High,52.6,52.8,
2017-01-04,3:30am,GBP,Net Lending to Individuals m/m,Low,4.9B,4.9B,
2017-01-04,3:30am,GBP,M4 Money Supply m/m,Medium,1.4%,1.1%,
2017-01-04,3:30am,GBP,Mortgage Approvals,Medium,69K,67K,
2017-01-04,4:00am,EUR,Core CPI Flash Estimate y/y,Low,0.8%,0.8%,
2017-01-04,4:00am,EUR,CPI Flash Estimate y/y,Low,1.0%,0.6%,
2017-01-04,4:00am,EUR,Italian Prelim CPI m/m,Medium,0.3%,-0.1%,
2017-01-04,All Day,USD,Wards Total Vehicle Sales,Medium,17.7M,17.6M,
2017-01-04,All Day,USD,Total Vehicle Sales,Medium,17.8M,17.9M,
2017-01-04,1:00pm,USD,FOMC Meeting Minutes,High,,,
2017-01-04,3:30pm,USD,API Weekly Statistical Bulletin,Medium,,,
2017-01-04,5:50pm,JPY,Monetary Base y/y,Medium,22.3%,21.5%,
2017-01-04,9:45pm,JPY,10-y Bond Auction,Medium,,0.03|3.8,
2017-01-05,3:10am,EUR,Retail PMI,Medium,,48.6,
2017-01-05,3:30am,GBP,Final Services PMI,High,54.8,55.2,
2017-01-05,3:50am,EUR,Spanish 10-y Bond Auction,Medium,,1.54|2.0,
2017-01-05,4:00am,EUR,PPI m/m,Medium,0.2%,0.8%,
2017-01-05,4:00am,EUR,Italian Prelim CPI m/m,Medium,,,
2017-01-05,4:03am,EUR,French 10-y Bond Auction,Medium,,0.46|2.0,
2017-01-05,6:30am,USD,Challenger Job Cuts y/y,Medium,,-13.0%,
2017-01-05,7:00am,GBP,MPC Member Haldane Speaks,Low,,,
2017-01-05,7:15am,USD,ADP Non-Farm Employment Change,High,171K,215K,
2017-01-05,7:30am,USD,Unemployment Claims,High,262K,263K,
2017-01-05,8:45am,USD,Final Services PMI,Medium,53.4,53.4,
2017-01-05,9:00am,USD,ISM Services PMI,High,56.6,57.2,
2017-01-05,9:30am,USD,Natural Gas Storage,Medium,-97B,-237B,
2017-01-05,10:00am,USD,Crude Oil Inventories,High,-1.8M,0.6M,
2017-01-05,6:00pm,JPY,Average Cash Earnings y/y,Medium,0.2%,0.1%,
2017-01-06,FriJan 6,EUR,German Retail Sales m/m,Low,-0.8%,2.5%,
2017-01-06,All Day,EUR,Italian Bank Holiday,Low,,,
2017-01-06,1:45am,EUR,French Trade Balance,Medium,-4.8B,-5.2B,
2017-01-06,2:00am,CHF,Foreign Currency Reserves,Medium,,648B,
2017-01-06,4:00am,EUR,Retail Sales m/m,Medium,-0.3%,1.4%,
2017-01-06,7:30am,USD,Average Hourly Earnings m/m,High,0.3%,-0.1%,
2017-01-06,7:30am,USD,Non-Farm Employment Change,High,175K,204K,
2017-01-06,7:30am,USD,Unemployment Rate,High,4.7%,4.6%,
2017-01-06,7:30am,USD,Trade Balance,Low,-42.2B,-42.4B,
2017-01-06,9:00am,USD,Factory Orders m/m,Low,-2.1%,2.8%,
2017-01-06,11:15am,USD,FOMC Member Evans Speaks,Low,,,
2017-01-08,All Day,JPY,Bank Holiday,Low,,,
2017-01-09,MonJan 9,EUR,German Trade Balance,Medium,20.8B,20.6B,
2017-01-09,2:15am,CHF,Retail Sales y/y,Medium,0.4%,-0.7%,
2017-01-09,2:30am,GBP,Halifax HPI m/m,Low,0.3%,0.6%,
2017-01-09,3:00am,EUR,Italian Monthly Unemployment Rate,Medium,11.6%,11.8%,
2017-01-09,3:30am,EUR,Sentix Investor Confidence,Medium,12.6,10.0,
2017-01-09,4:00am,EUR,Unemployment Rate,Medium,9.8%,9.8%,
2017-01-09,9:00am,USD,Labor Market Conditions Index m/m,Medium,,2.1,
2017-01-09,2:00pm,USD,Consumer Credit m/m,Medium,18.3B,16.2B,
2017-01-09,6:01pm,GBP,BRC Retail Sales Monitor y/y,Medium,,0.6%,
2017-01-09,11:00pm,JPY,Consumer Confidence,Medium,41.3,40.9,
2017-01-10,1:45am,EUR,French Industrial Production m/m,Medium,0.5%,-0.1%,
2017-01-10,5:00am,USD,NFIB Small Business Index,Medium,99.6,98.4,
2017-01-10,9:00am,USD,JOLTS Job Openings,Low,5.59M,5.45M,
2017-01-10,9:00am,USD,Final Wholesale Inventories m/m,Medium,0.9%,0.9%,
2017-01-10,3:30pm,USD,API Weekly Statistical Bulletin,Medium,,,
2017-01-10,9:45pm,JPY,30-y Bond Auction,Medium,,0.62|2.9,
2017-01-10,11:00pm,JPY,Leading Indicators,Medium,102.6%,100.8%,
2017-01-11,WedJan 11,GBP,Goods Trade Balance,Low,-11.2B,-9.9B,
2017-01-11,WedJan 11,GBP,Construction Output m/m,Medium,0.3%,-0.6%,
2017-01-11,WedJan 11,GBP,Industrial Production m/m,Medium,0.8%,-1.1%,
2017-01-11,4:33am,EUR,German 10-y Bond Auction,Medium,,0.21|2.0,
2017-01-11,8:15am,GBP,BOE Gov Carney Speaks,High,,,
2017-01-11,8:38am,GBP,NIESR GDP Estimate,Medium,,0.5%,
2017-01-11,9:00am,USD,RCM/TIPP Economic Optimism,Medium,53.9,54.8,
2017-01-11,9:30am,USD,Crude Oil Inventories,High,0.9M,-7.1M,
2017-01-11,10:00am,USD,President Trump Speaks,High,,,
2017-01-11,12:01pm,USD,10-y Bond Auction,Medium,,2.49|2.4,
2017-01-11,12:20pm,USD,FOMC Member Dudley Speaks,Low,,,
2017-01-11,5:50pm,JPY,Bank Lending y/y,Medium,2.4%,2.4%,
2017-01-11,5:50pm,JPY,Current Account,Medium,1.48T,1.93T,
