date,time,currency,event,impact,actual,forecast,previous
2013-01-07,MonJan 7,GBP,Halifax HPI m/m,Low,0.2%,1.6%,
2013-01-07,3:30am,EUR,Sentix Investor Confidence,Medium,-13.7,-16.8,
2013-01-07,4:00am,EUR,PPI m/m,Medium,-0.1%,0.1%,
2013-01-07,6:00pm,GBP,BRC Retail Sales Monitor y/y,Low,,0.4%,
2013-01-07,9:45pm,JPY,10-y Bond Auction,Medium,,0.73|3.8,
2013-01-08,1:00am,EUR,German Trade Balance,Medium,15.4B,14.9B,
2013-01-08,1:45am,EUR,French Trade Balance,Medium,-4.8B,-4.7B,
2013-01-08,3:00am,EUR,Italian Monthly Unemployment Rate,Medium,11.2%,11.1%,
2013-01-08,4:00am,EUR,Retail Sales m/m,Low,0.3%,-0.7%,
2013-01-08,4:00am,EUR,Unemployment Rate,Low,11.8%,11.7%,
2013-01-08,5:00am,EUR,German Factory Orders m/m,Low,-1.4%,3.8%,
2013-01-08,6:30am,USD,NFIB Small Business Index,Medium,87.2,87.5,
2013-01-08,9:00am,USD,RCM/TIPP Economic Optimism,Medium,46.3,45.1,
2013-01-08,2:00pm,USD,Consumer Credit m/m,Medium,12.9B,14.1B,
2013-01-08,6:01pm,GBP,BRC Shop Price Index y/y,Medium,,1.5%,
2013-01-09,4:00am,EUR,Final GDP q/q,Medium,-0.1%,-0.1%,
2013-01-09,5:00am,EUR,German Industrial Production m/m,Low,1.1%,-2.0%,
2013-01-09,9:30am,USD,Crude Oil Inventories,Low,0.9M,-11.1M,
2013-01-09,12:00pm,USD,10-y Bond Auction,Low,,1.65|3.0,
2013-01-09,9:45pm,JPY,30-y Bond Auction,Medium,,1.93|4.1,
2013-01-09,11:00pm,JPY,Leading Indicators,Medium,93.1%,92.8%,
2013-01-10,ThuJan 10,EUR,French Final CPI m/m,Medium,0.4%,-0.2%,
2013-01-10,6:00am,GBP,Asset Purchase Facility,High,375B,375B,
2013-01-10,6:00am,GBP,Official Bank Rate,High,0.50%,0.50%,
2013-01-10,6:45am,EUR,Main Refinancing Rate,High,0.75%,0.75%,
2013-01-10,7:30am,EUR,ECB Press Conference,High,,,
2013-01-10,7:30am,USD,Unemployment Claims,High,361K,367K,
2013-01-10,9:00am,USD,JOLTS Job Openings,Low,3.68M,3.67M,
2013-01-10,9:00am,USD,Final Wholesale Inventories m/m,Medium,0.2%,0.3%,
2013-01-10,9:30am,USD,Natural Gas Storage,Medium,-185B,-135B,
2013-01-10,12:00pm,USD,30-y Bond Auction,Medium,,2.92|2.5,
2013-01-10,12:10pm,USD,FOMC Member George Speaks,Low,,,
2013-01-10,1:00pm,USD,FOMC Member Bullard Speaks,Low,,,
2013-01-10,5:50pm,JPY,Current Account,High,0.31T,0.41T,
2013-01-10,5:50pm,JPY,Bank Lending y/y,Medium,,1.0%,
2013-01-10,11:00pm,JPY,Economy Watchers Sentiment,Medium,41.1,40.0,
2013-01-11,3:30am,GBP,Manufacturing Production m/m,High,0.5%,-1.3%,
2013-01-11,3:30am,GBP,Industrial Production m/m,Medium,0.8%,-0.9%,
2013-01-11,7:30am,USD,Trade Balance,High,-41.1B,-42.1B,
2013-01-11,7:30am,USD,Import Prices m/m,Low,0.1%,-0.8%,
2013-01-11,8:54am,GBP,NIESR GDP Estimate,Low,,0.1%,
2013-01-11,1:00pm,USD,Federal Budget Balance,Low,-11.6B,-172.1B,
2013-01-13,All Day,JPY,Bank Holiday,Low,,,
2013-01-13,7:20pm,USD,FOMC Member Evans Speaks,Low,,,
2013-01-14,3:00am,EUR,Italian Industrial Production m/m,Low,-0.1%,-1.1%,
2013-01-14,4:00am,EUR,Industrial Production m/m,Low,0.2%,-1.0%,
2013-01-14,3:00pm,USD,Fed Chairman Bernanke Speaks,High,,,
2013-01-14,5:50pm,JPY,M2 Money Stock y/y,Medium,2.1%,2.1%,
2013-01-14,6:01pm,GBP,RICS House Price Balance,Low,-8%,-9%,
2013-01-15,1:00am,EUR,German Final CPI m/m,Medium,0.9%,0.9%,
2013-01-15,1:45am,EUR,French Gov Budget Balance,Medium,,-94.6B,
2013-01-15,3:30am,GBP,CPI y/y,High,2.7%,2.7%,
2013-01-15,3:30am,GBP,PPI Input m/m,Low,0.0%,0.1%,
2013-01-15,3:30am,GBP,RPI y/y,Low,3.0%,3.0%,
2013-01-15,3:30am,GBP,Core CPI y/y,Medium,2.6%,2.6%,
2013-01-15,3:30am,GBP,ONS HPI y/y,Medium,1.7%,1.5%,
2013-01-15,3:30am,GBP,PPI Output m/m,Medium,0.0%,-0.3%,
2013-01-15,4:00am,EUR,Trade Balance,Medium,8.2B,7.4B,
2013-01-15,4:00am,GBP,BOE Gov King Speaks,High,,,
2013-01-15,4:00am,GBP,CB Leading Index m/m,Medium,,-0.3%,
2013-01-15,7:00am,USD,FOMC Member Rosengren Speaks,Low,,,
2013-01-15,7:30am,USD,Core Retail Sales m/m,High,0.2%,-0.1%,
2013-01-15,7:30am,USD,PPI m/m,High,-0.1%,-0.8%,
2013-01-15,7:30am,USD,Retail Sales m/m,High,0.2%,0.4%,
2013-01-15,7:30am,USD,Core PPI m/m,Low,0.2%,0.1%,
2013-01-15,7:30am,USD,Empire State Manufacturing Index,Low,1.9,-8.1,
2013-01-15,9:00am,USD,Business Inventories m/m,Low,0.3%,0.3%,
2013-01-15,5:50pm,JPY,Core Machinery Orders m/m,Low,0.4%,2.6%,
2013-01-15,5:50pm,JPY,PPI y/y,Medium,-0.7%,-0.9%,
2013-01-15,11:00pm,JPY,Consumer Confidence,Medium,40.7,39.4,
2013-01-16,3:00am,EUR,Italian Trade Balance,Medium,1.91B,2.42B,
2013-01-16,4:00am,EUR,Final Core CPI y/y,Low,1.5%,1.4%,
2013-01-16,4:00am,EUR,Final CPI y/y,Low,2.2%,2.2%,
2013-01-16,4:33am,EUR,German 10-y Bond Auction,Low,,1.40|1.5,
2013-01-16,7:30am,USD,Core CPI m/m,High,0.2%,0.1%,
2013-01-16,7:30am,USD,CPI y/y,High,1.8%,1.8%,
2013-01-16,7:30am,USD,CPI m/m,Low,0.0%,-0.3%,
2013-01-16,8:00am,USD,TIC Long-Term Purchases,Low,19.8B,-1.0B,
2013-01-16,8:15am,USD,Capacity Utilization Rate,Low,78.6%,78.7%,
2013-01-16,8:15am,USD,Industrial Production m/m,Low,0.2%,1.0%,
2013-01-16,9:00am,USD,NAHB Housing Market Index,Medium,48,47,
2013-01-16,9:30am,USD,Crude Oil Inventories,Low,2.0M,1.3M,
2013-01-16,1:00pm,USD,Beige Book,Low,,,
2013-01-16,5:50pm,JPY,Tertiary Industry Activity m/m,Low,0.1%,0.1%,
2013-01-17,3:00am,EUR,ECB Monthly Bulletin,Low,,,
2013-01-17,7:30am,USD,Building Permits,High,0.91M,0.90M,
2013-01-17,7:30am,USD,Unemployment Claims,High,369K,372K,
2013-01-17,7:30am,USD,Housing Starts,Low,0.89M,0.85M,
2013-01-17,9:00am,USD,Philly Fed Manufacturing Index,High,7.1,8.1,
2013-01-17,9:30am,USD,Natural Gas Storage,Medium,-131B,-201B,
2013-01-17,10:30pm,JPY,Revised Industrial Production m/m,Medium,-1.7%,-1.7%,
2013-01-18,8:55am,USD,Prelim UoM Consumer Sentiment,High,75.1,72.9,
2013-01-18,8:55am,USD,Prelim UoM Inflation Expectations,Medium,,3.2%,
2013-01-21,All Day,EUR,Eurogroup Meetings,High,,,
2013-01-21,5:00am,EUR,German Buba Monthly Report,Low,,,
2013-01-21,All Day,USD,Bank Holiday,Low,,,
2013-01-21,12:00pm,EUR,German Buba President Weidmann Speaks,Low,,,
2013-01-21,9:47pm,JPY,Monetary Policy Statement,High,,,
2013-01-21,9:47pm,JPY,Overnight Call Rate,High,<0.10%,<0.10%,
2013-01-21,10:32pm,JPY,All Industries Activity m/m,Medium,-0.3%,0.2%,
2013-01-22,All Day,EUR,ECOFIN Meetings,Low,,,
2013-01-22,3:30am,GBP,Public Sector Net Borrowing,Low,13.4B,14.3B,
2013-01-22,4:00am,EUR,German ZEW Economic Sentiment,High,12.2,6.9,
2013-01-22,4:00am,EUR,ZEW Economic Sentiment,Low,14.1,7.6,
2013-01-22,4:34am,GBP,10-y Bond Auction,Low,,1.80|1.7,
2013-01-22,5:00am,GBP,CBI Industrial Order Expectations,Low,-10,-12,
2013-01-22,8:59am,USD,Richmond Manufacturing Index,Medium,4,5,
2013-01-22,9:00am,USD,Existing Home Sales,High,5.09M,4.99M,
2013-01-22,12:00pm,EUR,ECB President Draghi Speaks,High,,,
2013-01-22,1:45pm,GBP,BOE Gov King Speaks,High,,,
2013-01-22,11:00pm,JPY,BOJ Monthly Report,Medium,,,
2013-01-23,3:30am,GBP,Claimant Count Change,High,0.4K,-8.9K,
2013-01-23,3:30am,GBP,MPC Asset Purchase Facility Votes,High,1-0-8,1-0-8,
2013-01-23,3:30am,GBP,MPC Official Bank Rate Votes,High,0-0-9,0-0-9,
