Time	Open	High	Low	Close	Volume	Spread
2026-01-01 00:00:00	1.17387	1.17507	1.17387	1.17506	3654	131
2026-01-02 00:00:00	1.17509	1.17649	1.17132	1.17199	88827	4
2026-01-04 00:00:00	1.17203	1.17219	1.16999	1.1705	4250	78
2026-01-05 00:00:00	1.1705	1.17286	1.16588	1.17144	108144	3
2026-01-06 00:00:00	1.17144	1.17428	1.16837	1.16868	101231	4
2026-01-07 00:00:00	1.1687	1.17025	1.16727	1.16767	90865	4
2026-01-08 00:00:00	1.16768	1.16828	1.16425	1.16578	65457	3
2026-01-09 00:00:00	1.16579	1.16604	1.16179	1.16298	83134	4
2026-01-11 00:00:00	1.16296	1.16348	1.1623	1.16235	1679	71
2026-01-12 00:00:00	1.16237	1.16984	1.16216	1.16673	86656	4
2026-01-13 00:00:00	1.16673	1.16776	1.1634	1.1642	84586	3
2026-01-14 00:00:00	1.16421	1.16615	1.16354	1.16449	84810	3
2026-01-15 00:00:00	1.1645	1.16455	1.1593	1.16088	83235	3
2026-01-16 00:00:00	1.16087	1.16273	1.15843	1.1595	97514	4
2026-01-18 00:00:00	1.15815	1.16268	1.15777	1.16241	9013	32
2026-01-19 00:00:00	1.1624	1.16487	1.16043	1.16393	85739	3
2026-01-20 00:00:00	1.16395	1.17688	1.16324	1.1727	164048	5
2026-01-21 00:00:00	1.1727	1.1743	1.16697	1.16728	129685	5
2026-01-22 00:00:00	1.16727	1.17591	1.16727	1.17538	90796	3
2026-01-23 00:00:00	1.17537	1.18336	1.17283	1.1828	113874	3
2026-01-25 00:00:00	1.18661	1.18976	1.18506	1.18602	10059	27
2026-01-26 00:00:00	1.18601	1.19069	1.18347	1.18738	149488	4
2026-01-27 00:00:00	1.18736	1.20822	1.18502	1.20227	195924	4
2026-01-28 00:00:00	1.20227	1.20257	1.18957	1.19808	189140	3
2026-01-29 00:00:00	1.19807	1.19964	1.19059	1.19674	183817	3
2026-01-30 00:00:00	1.19673	1.19729	1.18489	1.1849	227194	3
2026-02-01 00:00:00	1.18492	1.18569	1.18395	1.18461	10395	38
2026-02-02 00:00:00	1.18464	1.18747	1.17758	1.17987	189072	3
2026-02-03 00:00:00	1.17986	1.18288	1.178	1.18155	123427	3
2026-02-04 00:00:00	1.18155	1.18379	1.17903	1.18015	123469	3
2026-02-05 00:00:00	1.18014	1.18218	1.17749	1.17764	133256	4
2026-02-06 00:00:00	1.17763	1.1826	1.17654	1.18115	93919	4
2026-02-08 00:00:00	1.18106	1.18277	1.18097	1.18266	5030	42
2026-02-09 00:00:00	1.18267	1.19266	1.18159	1.19036	129331	3
2026-02-10 00:00:00	1.19035	1.19285	1.18866	1.18876	109629	3
2026-02-11 00:00:00	1.18877	1.19272	1.18331	1.18746	144202	3
2026-02-12 00:00:00	1.18747	1.18899	1.18522	1.18691	127487	3
2026-02-13 00:00:00	1.18689	1.18846	1.18469	1.18655	101344	3
2026-02-15 00:00:00	1.18751	1.18755	1.18631	1.18667	2705	26
2026-02-16 00:00:00	1.18667	1.18703	1.18462	1.18503	48298	3
2026-02-17 00:00:00	1.18505	1.18573	1.18049	1.18507	89542	4
2026-02-18 00:00:00	1.18507	1.18535	1.17818	1.17885	84249	4
2026-02-19 00:00:00	1.17884	1.18075	1.17418	1.17682	97900	3
2026-02-20 00:00:00	1.17683	1.18074	1.17432	1.17814	125580	3
2026-02-22 00:00:00	1.17906	1.18346	1.17901	1.18333	5744	92
2026-02-23 00:00:00	1.18333	1.18344	1.17744	1.17929	105379	3
2026-02-24 00:00:00	1.17928	1.17963	1.1766	1.17738	85575	4
2026-02-25 00:00:00	1.17738	1.18163	1.17709	1.1815	80527	4
