Time	Open	High	Low	Close	Volume	Spread
2026-01-01 23:00:00	1.17464	1.17507	1.17455	1.17506	1421	23
2026-01-02 00:00:00	1.17509	1.17563	1.17498	1.1756	865	4
2026-01-02 01:00:00	1.17562	1.17626	1.17561	1.17608	1480	3
2026-01-02 02:00:00	1.17607	1.17636	1.17581	1.17592	980	3
2026-01-02 03:00:00	1.17594	1.17649	1.17594	1.17644	1258	2
2026-01-02 04:00:00	1.17645	1.17647	1.17549	1.17553	2161	5
2026-01-02 05:00:00	1.17553	1.17577	1.17508	1.17513	1075	6
2026-01-02 06:00:00	1.1751	1.17513	1.17413	1.17437	1617	4
2026-01-02 07:00:00	1.17434	1.17468	1.1732	1.17347	4823	4
2026-01-02 08:00:00	1.17344	1.17382	1.1724	1.17285	6147	3
2026-01-02 09:00:00	1.17285	1.17374	1.17204	1.17213	8061	4
2026-01-02 10:00:00	1.17214	1.17236	1.17132	1.17209	7381	4
2026-01-02 11:00:00	1.1721	1.17224	1.17151	1.17219	7074	3
2026-01-02 12:00:00	1.17218	1.17271	1.17206	1.17235	5445	3
2026-01-02 13:00:00	1.17235	1.17289	1.17182	1.17214	6095	3
2026-01-02 14:00:00	1.17214	1.17305	1.17158	1.17285	5436	5
2026-01-02 15:00:00	1.17283	1.1752	1.17282	1.17504	8289	3
2026-01-02 16:00:00	1.17505	1.17542	1.17339	1.17374	7079	4
2026-01-02 17:00:00	1.17372	1.17376	1.17285	1.17306	3610	4
2026-01-02 18:00:00	1.17307	1.17312	1.17152	1.17188	3032	3
2026-01-02 19:00:00	1.1719	1.17242	1.17141	1.17231	2629	4
2026-01-02 20:00:00	1.17234	1.17236	1.17152	1.17174	2702	4
2026-01-02 21:00:00	1.17173	1.17231	1.17171	1.17199	1588	5
2026-01-04 22:00:00	1.17203	1.17219	1.17097	1.17109	957	78
2026-01-04 23:00:00	1.17107	1.17126	1.16999	1.1705	3293	7
2026-01-05 00:00:00	1.1705	1.1711	1.17034	1.17049	3558	3
2026-01-05 01:00:00	1.17049	1.17073	1.16995	1.17003	3383	3
2026-01-05 02:00:00	1.17002	1.17016	1.16839	1.16885	4129	3
2026-01-05 03:00:00	1.16884	1.16907	1.16721	1.16752	2895	4
2026-01-05 04:00:00	1.1675	1.16828	1.16731	1.16819	2708	3
2026-01-05 05:00:00	1.16819	1.16859	1.16802	1.16853	2708	5
2026-01-05 06:00:00	1.16853	1.16918	1.16781	1.1691	2683	3
2026-01-05 07:00:00	1.1691	1.1692	1.16834	1.16862	4618	4
2026-01-05 08:00:00	1.1686	1.16948	1.1681	1.16832	10240	3
2026-01-05 09:00:00	1.16829	1.16874	1.16736	1.16823	4352	3
2026-01-05 10:00:00	1.16824	1.16899	1.16797	1.16898	4986	3
2026-01-05 11:00:00	1.16897	1.16909	1.16799	1.16813	6055	2
2026-01-05 12:00:00	1.16814	1.16851	1.16698	1.16707	4543	4
2026-01-05 13:00:00	1.16708	1.16752	1.16588	1.16744	9874	3
2026-01-05 14:00:00	1.16744	1.16872	1.16732	1.16851	8529	4
2026-01-05 15:00:00	1.16851	1.17045	1.16848	1.17045	11544	5
2026-01-05 16:00:00	1.17045	1.17185	1.1704	1.17148	6011	3
2026-01-05 17:00:00	1.17147	1.17196	1.171	1.17143	4205	2
2026-01-05 18:00:00	1.17142	1.17254	1.17133	1.1725	2787	3
2026-01-05 19:00:00	1.1725	1.17286	1.1722	1.17271	3450	3
2026-01-05 20:00:00	1.17269	1.17286	1.17236	1.17246	1721	3
2026-01-05 21:00:00	1.17247	1.17263	1.17194	1.1721	1311	5
2026-01-05 22:00:00	1.1721	1.1722	1.17165	1.17184	1089	31
2026-01-05 23:00:00	1.17185	1.17213	1.17128	1.17144	765	14
2026-01-06 00:00:00	1.17144	1.17168	1.17106	1.17166	1425	4
2026-01-06 01:00:00	1.17166	1.17253	1.1712	1.17253	2945	3
2026-01-06 02:00:00	1.17253	1.17376	1.17222	1.17371	2507	3
2026-01-06 03:00:00	1.17371	1.17382	1.17324	1.17343	2501	4
2026-01-06 04:00:00	1.17343	1.17355	1.17314	1.17336	1862	6
2026-01-06 05:00:00	1.17334	1.17369	1.17271	1.17287	2793	3
2026-01-06 06:00:00	1.17288	1.1737	1.17285	1.17361	3267	4
2026-01-06 07:00:00	1.17361	1.17428	1.17257	1.17289	5859	3
2026-01-06 08:00:00	1.17288	1.17388	1.17259	1.17281	5964	4
2026-01-06 09:00:00	1.17282	1.17287	1.1708	1.17132	6427	4
2026-01-06 10:00:00	1.17132	1.17171	1.17082	1.17126	4189	3
2026-01-06 11:00:00	1.17126	1.1713	1.17049	1.17061	2413	3
2026-01-06 12:00:00	1.17063	1.17121	1.16969	1.17009	4192	3
2026-01-06 13:00:00	1.17011	1.17135	1.16972	1.17108	6568	5
2026-01-06 14:00:00	1.17109	1.17174	1.1699	1.1709	6939	3
2026-01-06 15:00:00	1.17089	1.17089	1.16838	1.16952	13303	3
2026-01-06 16:00:00	1.16952	1.16982	1.16856	1.1688	6419	3
2026-01-06 17:00:00	1.16878	1.17006	1.16868	1.17005	4526	4
2026-01-06 18:00:00	1.17005	1.1702	1.16868	1.16882	4477	3
2026-01-06 19:00:00	1.16882	1.16909	1.16837	1.16896	3305	3
2026-01-06 20:00:00	1.16897	1.16931	1.16864	1.16867	4613	3
2026-01-06 21:00:00	1.16869	1.16887	1.16844	1.16885	2924	4
2026-01-06 22:00:00	1.16881	1.16881	1.16847	1.16879	980	18
2026-01-06 23:00:00	1.1688	1.16903	1.16866	1.16868	833	12
2026-01-07 00:00:00	1.1687	1.16941	1.16851	1.16916	3827	4
2026-01-07 01:00:00	1.16916	1.17005	1.16897	1.16957	3652	4
2026-01-07 02:00:00	1.16956	1.17025	1.16951	1.1696	1939	4
2026-01-07 03:00:00	1.16958	1.17001	1.16958	1.16983	1458	4
2026-01-07 04:00:00	1.16985	1.17019	1.16908	1.16909	2032	5
2026-01-07 05:00:00	1.16907	1.16942	1.16907	1.16929	1597	4
2026-01-07 06:00:00	1.16928	1.16995	1.16919	1.16973	2006	5
2026-01-07 07:00:00	1.16974	1.16987	1.16784	1.16827	4749	4
2026-01-07 08:00:00	1.16825	1.16873	1.16728	1.16857	5453	4
2026-01-07 09:00:00	1.16856	1.16868	1.16811	1.1684	3693	3
2026-01-07 10:00:00	1.16841	1.16939	1.16832	1.16882	3562	5
2026-01-07 11:00:00	1.16883	1.16924	1.1685	1.16892	2649	2
2026-01-07 12:00:00	1.16892	1.16911	1.1681	1.16876	3502	3
2026-01-07 13:00:00	1.16876	1.16946	1.1682	1.16914	5741	3
2026-01-07 14:00:00	1.16914	1.16983	1.16869	1.16963	6096	3
2026-01-07 15:00:00	1.16964	1.16985	1.16797	1.16901	12356	7
2026-01-07 16:00:00	1.169	1.16931	1.16822	1.16893	5928	2
2026-01-07 17:00:00	1.16892	1.16948	1.16861	1.16879	5936	2
2026-01-07 18:00:00	1.1688	1.16904	1.16824	1.16828	4919	2
2026-01-07 19:00:00	1.1683	1.16852	1.16786	1.16823	5096	3
2026-01-07 20:00:00	1.16825	1.16838	1.16788	1.16788	2281	3
2026-01-07 21:00:00	1.16788	1.16791	1.16732	1.16732	1112	5
2026-01-07 22:00:00	1.16728	1.16775	1.16727	1.16768	589	20
2026-01-07 23:00:00	1.16771	1.16775	1.16749	1.16767	692	7
2026-01-08 00:00:00	1.16768	1.1678	1.16757	1.16757	778	3
2026-01-08 01:00:00	1.16755	1.16778	1.16728	1.16746	1569	3
2026-01-08 02:00:00	1.16744	1.16805	1.16724	1.168	1791	4
2026-01-08 03:00:00	1.168	1.16828	1.16787	1.16799	1569	4
2026-01-08 04:00:00	1.16797	1.16809	1.16777	1.16803	1053	3
2026-01-08 05:00:00	1.16801	1.16828	1.16773	1.16824	1650	3
2026-01-08 06:00:00	1.16822	1.16828	1.16747	1.16815	2417	3
2026-01-08 07:00:00	1.16812	1.16828	1.16769	1.16778	3717	4
2026-01-08 08:00:00	1.16779	1.16787	1.16687	1.16712	4014	3
2026-01-08 09:00:00	1.16709	1.16769	1.16693	1.16767	3080	4
2026-01-08 10:00:00	1.16767	1.16817	1.16756	1.16797	2958	4
2026-01-08 11:00:00	1.16797	1.16802	1.1675	1.16775	1945	3
2026-01-08 12:00:00	1.16774	1.16777	1.16697	1.16732	2207	3
