Time	Open	High	Low	Close	Volume	Spread
2026-01-01 20:00:00	1.17387	1.17507	1.17387	1.17506	3654	131
2026-01-02 00:00:00	1.17509	1.17649	1.17498	1.17644	4583	4
2026-01-02 04:00:00	1.17645	1.17647	1.1732	1.17347	9676	5
2026-01-02 08:00:00	1.17344	1.17382	1.17132	1.17219	28663	3
2026-01-02 12:00:00	1.17218	1.1752	1.17158	1.17504	25265	3
2026-01-02 16:00:00	1.17505	1.17542	1.17141	1.17231	16350	4
2026-01-02 20:00:00	1.17234	1.17236	1.17152	1.17199	4290	4
2026-01-04 20:00:00	1.17203	1.17219	1.16999	1.1705	4250	78
2026-01-05 00:00:00	1.1705	1.1711	1.16721	1.16752	13965	3
2026-01-05 04:00:00	1.1675	1.1692	1.16731	1.16862	12717	3
2026-01-05 08:00:00	1.1686	1.16948	1.16736	1.16813	25633	3
2026-01-05 12:00:00	1.16814	1.17045	1.16588	1.17045	34490	4
2026-01-05 16:00:00	1.17045	1.17286	1.1704	1.17271	16453	3
2026-01-05 20:00:00	1.17269	1.17286	1.17128	1.17144	4886	3
2026-01-06 00:00:00	1.17144	1.17382	1.17106	1.17343	9378	4
2026-01-06 04:00:00	1.17343	1.17428	1.17257	1.17289	13781	6
2026-01-06 08:00:00	1.17288	1.17388	1.17049	1.17061	18993	4
2026-01-06 12:00:00	1.17063	1.17174	1.16838	1.16952	31002	3
2026-01-06 16:00:00	1.16952	1.1702	1.16837	1.16896	18727	3
2026-01-06 20:00:00	1.16897	1.16931	1.16844	1.16868	9350	3
2026-01-07 00:00:00	1.1687	1.17025	1.16851	1.16983	10876	4
2026-01-07 04:00:00	1.16985	1.17019	1.16784	1.16827	10384	5
2026-01-07 08:00:00	1.16825	1.16939	1.16728	1.16892	15357	4
2026-01-07 12:00:00	1.16892	1.16985	1.16797	1.16901	27695	3
2026-01-07 16:00:00	1.169	1.16948	1.16786	1.16823	21879	2
2026-01-07 20:00:00	1.16825	1.16838	1.16727	1.16767	4674	3
2026-01-08 00:00:00	1.16768	1.16828	1.16724	1.16799	5707	3
2026-01-08 04:00:00	1.16797	1.16828	1.16747	1.16778	8837	3
2026-01-08 08:00:00	1.16779	1.16817	1.16687	1.16775	11997	3
2026-01-08 12:00:00	1.16774	1.16777	1.16561	1.16664	19626	3
2026-01-08 16:00:00	1.16662	1.16673	1.16425	1.16501	13146	3
2026-01-08 20:00:00	1.165	1.16624	1.16496	1.16578	6144	3
2026-01-09 00:00:00	1.16579	1.1659	1.16459	1.16561	6804	4
2026-01-09 04:00:00	1.16559	1.16569	1.16399	1.16506	7027	3
2026-01-09 08:00:00	1.16508	1.16529	1.16367	1.1646	11370	3
2026-01-09 12:00:00	1.1646	1.16604	1.16179	1.16405	40451	3
2026-01-09 16:00:00	1.16405	1.16431	1.16276	1.16346	14688	3
2026-01-09 20:00:00	1.16348	1.16377	1.16292	1.16298	2794	3
2026-01-11 20:00:00	1.16296	1.16348	1.1623	1.16235	1679	71
2026-01-12 00:00:00	1.16237	1.16713	1.16216	1.16551	14911	4
2026-01-12 04:00:00	1.16549	1.16876	1.16528	1.16849	10683	3
2026-01-12 08:00:00	1.16847	1.16957	1.16755	1.16784	17816	3
2026-01-12 12:00:00	1.16785	1.16984	1.16728	1.16811	24330	3
2026-01-12 16:00:00	1.16812	1.1682	1.16651	1.1672	12352	2
2026-01-12 20:00:00	1.1672	1.1673	1.16628	1.16673	6564	2
2026-01-13 00:00:00	1.16673	1.16673	1.16561	1.16586	6143	3
2026-01-13 04:00:00	1.16584	1.16674	1.16537	1.1664	9545	4
2026-01-13 08:00:00	1.16639	1.16742	1.16586	1.16685	15309	3
2026-01-13 12:00:00	1.16685	1.16776	1.1644	1.16518	33530	3
2026-01-13 16:00:00	1.16519	1.16545	1.1634	1.1649	14693	2
2026-01-13 20:00:00	1.16489	1.16498	1.16408	1.1642	5366	4
2026-01-14 00:00:00	1.16421	1.16487	1.16359	1.16469	6245	3
2026-01-14 04:00:00	1.16467	1.16519	1.16413	1.16459	6374	3
2026-01-14 08:00:00	1.16461	1.16578	1.1641	1.16467	17309	3
2026-01-14 12:00:00	1.16469	1.16606	1.16447	1.16599	32068	3
2026-01-14 16:00:00	1.16599	1.16615	1.16354	1.16362	13727	2
2026-01-14 20:00:00	1.16362	1.16472	1.16362	1.16449	9087	2
2026-01-15 00:00:00	1.1645	1.16455	1.16329	1.16387	11320	3
2026-01-15 04:00:00	1.1639	1.16393	1.16259	1.16287	11211	4
2026-01-15 08:00:00	1.16287	1.16409	1.16267	1.16308	14123	3
2026-01-15 12:00:00	1.16307	1.16349	1.1593	1.16021	27578	2
2026-01-15 16:00:00	1.16021	1.16174	1.15981	1.16136	12979	3
2026-01-15 20:00:00	1.16137	1.16155	1.16025	1.16088	6024	3
2026-01-16 00:00:00	1.16087	1.16141	1.16023	1.1612	9491	4
2026-01-16 04:00:00	1.1612	1.16147	1.16042	1.1612	9007	5
2026-01-16 08:00:00	1.16121	1.16233	1.16079	1.16191	16157	2
2026-01-16 12:00:00	1.1619	1.16273	1.15843	1.15935	39240	3
2026-01-16 16:00:00	1.15933	1.16058	1.15893	1.15963	19805	2
2026-01-16 20:00:00	1.15964	1.16022	1.1595	1.1595	3814	3
2026-01-18 20:00:00	1.15815	1.16268	1.15777	1.16241	9013	32
2026-01-19 00:00:00	1.1624	1.16378	1.16043	1.16245	22387	3
2026-01-19 04:00:00	1.16244	1.16412	1.16229	1.16259	15075	2
2026-01-19 08:00:00	1.1626	1.16297	1.1611	1.16277	19406	3
2026-01-19 12:00:00	1.16277	1.16433	1.1625	1.16398	18783	3
2026-01-19 16:00:00	1.16398	1.16487	1.16376	1.16431	6571	2
2026-01-19 20:00:00	1.16431	1.16473	1.16383	1.16393	3517	3
2026-01-20 00:00:00	1.16395	1.16586	1.16324	1.16565	9491	5
2026-01-20 04:00:00	1.16566	1.16936	1.16559	1.16885	19961	3
2026-01-20 08:00:00	1.16885	1.17388	1.16873	1.17348	42120	3
2026-01-20 12:00:00	1.17347	1.17688	1.17151	1.17269	57550	2
2026-01-20 16:00:00	1.17268	1.17426	1.17114	1.17122	24968	4
2026-01-20 20:00:00	1.17122	1.17289	1.17106	1.1727	9958	3
2026-01-21 00:00:00	1.1727	1.17342	1.17104	1.17188	13300	5
2026-01-21 04:00:00	1.17188	1.17253	1.17097	1.1717	15825	3
2026-01-21 08:00:00	1.17167	1.17202	1.17012	1.17141	23035	2
2026-01-21 12:00:00	1.17141	1.1743	1.17005	1.17019	38380	2
2026-01-21 16:00:00	1.17018	1.17115	1.16768	1.16914	29556	2
2026-01-21 20:00:00	1.16915	1.16919	1.16697	1.16728	9589	3
2026-01-22 00:00:00	1.16727	1.16935	1.16727	1.16888	9423	3
2026-01-22 04:00:00	1.1689	1.16972	1.16841	1.16905	10539	2
2026-01-22 08:00:00	1.16903	1.17041	1.16841	1.17022	19554	3
2026-01-22 12:00:00	1.17022	1.1734	1.16999	1.17338	26831	2
2026-01-22 16:00:00	1.17338	1.17505	1.17266	1.17439	18694	2
2026-01-22 20:00:00	1.1744	1.17591	1.17419	1.17538	5755	3
2026-01-23 00:00:00	1.17537	1.17537	1.17435	1.17435	9850	3
2026-01-23 04:00:00	1.17436	1.17539	1.1735	1.17358	17435	2
2026-01-23 08:00:00	1.1736	1.17452	1.17283	1.17374	20174	3
2026-01-23 12:00:00	1.17373	1.17612	1.17318	1.17579	18166	3
2026-01-23 16:00:00	1.17579	1.18148	1.17463	1.18116	38647	2
2026-01-23 20:00:00	1.18117	1.18336	1.181	1.1828	9602	2
2026-01-25 20:00:00	1.18661	1.18976	1.18506	1.18602	10059	27
2026-01-26 00:00:00	1.18601	1.18764	1.18443	1.18623	24357	4
2026-01-26 04:00:00	1.18624	1.18697	1.18364	1.18386	21473	2
2026-01-26 08:00:00	1.18386	1.18674	1.18381	1.18557	32346	3
2026-01-26 12:00:00	1.18557	1.18969	1.18347	1.18953	32674	2
2026-01-26 16:00:00	1.18952	1.19069	1.18705	1.18792	28416	3
2026-01-26 20:00:00	1.1879	1.18862	1.18716	1.18738	10222	2
2026-01-27 00:00:00	1.18736	1.18993	1.18724	1.18795	16421	4
2026-01-27 04:00:00	1.18797	1.18823	1.18608	1.18637	15407	3
2026-01-27 08:00:00	1.18634	1.18971	1.18502	1.18954	30472	3
2026-01-27 12:00:00	1.18953	1.19724	1.18941	1.19508	59885	2
2026-01-27 16:00:00	1.19506	1.199	1.19495	1.19771	36760	2
2026-01-27 20:00:00	1.1977	1.20822	1.19716	1.20227	36979	2
2026-01-28 00:00:00	1.20227	1.20235	1.1987	1.19969	20125	3
2026-01-28 04:00:00	1.1997	1.20257	1.19748	1.19912	22215	3
2026-01-28 08:00:00	1.19913	1.20047	1.19617	1.19679	35614	3
2026-01-28 12:00:00	1.19678	1.19834	1.19231	1.19434	52539	2
2026-01-28 16:00:00	1.19432	1.19526	1.18957	1.19403	42401	2
2026-01-28 20:00:00	1.19402	1.19808	1.19293	1.19808	16246	3
2026-01-29 00:00:00	1.19807	1.19868	1.19532	1.19864	20818	3
2026-01-29 04:00:00	1.19863	1.19964	1.19671	1.1974	20584	3
2026-01-29 08:00:00	1.19738	1.19856	1.19379	1.19468	29869	3
2026-01-29 12:00:00	1.19471	1.19725	1.19059	1.19294	62273	3
2026-01-29 16:00:00	1.19292	1.19648	1.19273	1.19513	41689	3
2026-01-29 20:00:00	1.19512	1.19745	1.19457	1.19674	8584	3
2026-01-30 00:00:00	1.19673	1.19729	1.18948	1.19197	36030	3
2026-01-30 04:00:00	1.19197	1.19423	1.19138	1.19377	29230	3
2026-01-30 08:00:00	1.19377	1.19505	1.18981	1.1949	38382	4
2026-01-30 12:00:00	1.19489	1.19546	1.18831	1.18951	56465	2
2026-01-30 16:00:00	1.18954	1.18975	1.18544	1.18693	55357	3
2026-01-30 20:00:00	1.18693	1.18693	1.18489	1.1849	11730	2
2026-02-01 20:00:00	1.18492	1.18569	1.18395	1.18461	10395	38
2026-02-02 00:00:00	1.18464	1.18747	1.18463	1.18641	30903	3
2026-02-02 04:00:00	1.18641	1.18725	1.18409	1.18532	29227	3
2026-02-02 08:00:00	1.18533	1.18712	1.18435	1.18646	31152	3
2026-02-02 12:00:00	1.18645	1.18698	1.17902	1.17923	50294	2
2026-02-02 16:00:00	1.17922	1.18124	1.17758	1.17886	36263	2
2026-02-02 20:00:00	1.17888	1.17989	1.17802	1.17987	11233	3
2026-02-03 00:00:00	1.17986	1.18149	1.17979	1.18093	12943	3
2026-02-03 04:00:00	1.18092	1.18243	1.18048	1.18149	14411	3
2026-02-03 08:00:00	1.1815	1.18193	1.17825	1.17871	24001	3
2026-02-03 12:00:00	1.17872	1.18135	1.178	1.18129	33372	2
2026-02-03 16:00:00	1.18131	1.18288	1.18058	1.18133	29736	2
2026-02-03 20:00:00	1.18135	1.18253	1.18094	1.18155	8964	3
2026-02-04 00:00:00	1.18155	1.18317	1.18086	1.18268	12856	3
2026-02-04 04:00:00	1.18268	1.18361	1.18241	1.1832	11145	3
2026-02-04 08:00:00	1.18317	1.18379	1.18046	1.18103	21683	2
2026-02-04 12:00:00	1.18102	1.18268	1.17933	1.17961	36372	3
2026-02-04 16:00:00	1.17962	1.1815	1.17903	1.18091	33852	3
2026-02-04 20:00:00	1.18088	1.18096	1.18002	1.18015	7561	3
2026-02-05 00:00:00	1.18014	1.18082	1.17826	1.17892	15325	4
2026-02-05 04:00:00	1.17893	1.18033	1.17841	1.17989	11811	3
2026-02-05 08:00:00	1.17987	1.18088	1.17802	1.17935	20626	3
2026-02-05 12:00:00	1.17935	1.18218	1.17818	1.17911	52723	2
2026-02-05 16:00:00	1.17913	1.18041	1.1785	1.17941	23756	2
2026-02-05 20:00:00	1.17939	1.17947	1.17749	1.17764	9015	2
2026-02-06 00:00:00	1.17763	1.17916	1.17654	1.17874	14168	4
2026-02-06 04:00:00	1.17878	1.18016	1.17872	1.17913	11543	3
2026-02-06 08:00:00	1.17913	1.17997	1.17855	1.179	20026	3
2026-02-06 12:00:00	1.17899	1.1826	1.17881	1.18193	27924	3
2026-02-06 16:00:00	1.18192	1.18228	1.18099	1.1819	15995	3
2026-02-06 20:00:00	1.18191	1.18239	1.18113	1.18115	4263	4
2026-02-08 20:00:00	1.18106	1.18277	1.18097	1.18266	5030	42
2026-02-09 00:00:00	1.18267	1.18335	1.18159	1.18187	15113	3
2026-02-09 04:00:00	1.18188	1.18598	1.18188	1.18558	16455	3
2026-02-09 08:00:00	1.18558	1.1872	1.18517	1.18691	27047	2
2026-02-09 12:00:00	1.18691	1.19266	1.18691	1.1912	44151	3
2026-02-09 16:00:00	1.19122	1.19222	1.18929	1.19202	19576	3
2026-02-09 20:00:00	1.19201	1.1921	1.19016	1.19036	6989	3
2026-02-10 00:00:00	1.19035	1.19169	1.18965	1.19114	11162	3
2026-02-10 04:00:00	1.19113	1.19131	1.18993	1.19086	11086	3
2026-02-10 08:00:00	1.19084	1.19198	1.18996	1.19037	18499	3
2026-02-10 12:00:00	1.19039	1.19285	1.18885	1.19139	43813	3
2026-02-10 16:00:00	1.1914	1.19149	1.18866	1.19022	18902	2
2026-02-10 20:00:00	1.19021	1.19033	1.18866	1.18876	6167	3
2026-02-11 00:00:00	1.18877	1.19137	1.18862	1.19115	12758	3
2026-02-11 04:00:00	1.19114	1.19256	1.19066	1.19178	16096	3
2026-02-11 08:00:00	1.19175	1.19272	1.19049	1.19081	16972	2
2026-02-11 12:00:00	1.19081	1.19092	1.18331	1.18591	65799	3
2026-02-11 16:00:00	1.1859	1.18934	1.18531	1.18798	25352	3
2026-02-11 20:00:00	1.18796	1.18809	1.18685	1.18746	7225	3
2026-02-12 00:00:00	1.18747	1.18846	1.18652	1.18695	14053	3
2026-02-12 04:00:00	1.18695	1.18751	1.18522	1.18728	16898	3
2026-02-12 08:00:00	1.1873	1.18878	1.18712	1.18844	16319	3
2026-02-12 12:00:00	1.18844	1.18883	1.18669	1.18856	31256	3
