Time,Signal,Pips_Nets,result,Log_Return,Dist_EMA_9,Dist_EMA_21,Dist_EMA_50,RSI_14,ADX_14,ATR_Norm,BB_Width,Hour_Sin,Hour_Cos,RSI_14_H4,Dist_EMA_20_H4,Dist_EMA_50_H4,RSI_14_D1,Dist_EMA_20_D1,Dist_EMA_50_D1,XAU_Return,CHF_Return,proba_hausse,proba_neutre,proba_baisse
2025-01-02 00:00:00,1,19.5,win,0.0001255874839231,-0.0005664582860714,-0.0020142822125475,-0.0037541706559776,31.833851777040813,31.390156840440927,0.0012228092539643,0.0107446074207621,0.0,1.0,42.26479745468013,-0.0018944858870308,-0.0036973875375339,27.56313427706307,-0.0145039909453017,-0.0251124725508314,0.000621101465266,-0.0009369024488165,0.5147999999999999,0.2748,0.21030000000000001
2025-01-02 08:00:00,-1,19.7,win,0.0,-7.361806300239201e-05,-0.0005769454502332,-0.0020392093572892,41.62946974196399,25.61314353202215,0.0011912642992894,0.0042006186381863,0.8660254037844387,-0.4999999999999998,33.50247541305889,-0.0049335198019838,-0.0070578219247341,27.56313427706307,-0.0145039909453017,-0.0251124725508314,0.0001896742843015,0.0002542040387922,0.1477,0.2924,0.5599000000000001
2025-01-02 12:00:00,-1,-10.3,loss_sl,-0.0013462276188995,-0.0023254440141541,-0.003663008178929,-0.005578269585255,29.565802430909727,31.06611426191261,0.0015196588059811,0.0058714326674238,1.2246467991473532e-16,-1.0,25.11437432917842,-0.0095964785189177,-0.0122432058330547,27.56313427706307,-0.0145039909453017,-0.0251124725508314,0.0005676625512192,0.0003964976096881,0.21850000000000003,0.3197,0.4618
2025-01-02 13:00:00,-1,-10.2,loss_sl,-0.0004750018265399,-0.0022413308195705,-0.0037635119868891,-0.005818543009273,28.25136031706283,32.74516012018941,0.001539218189788,0.0068103286850333,-0.2588190451025203,-0.9659258262890684,25.11437432917842,-0.0095964785189177,-0.0122432058330547,27.56313427706307,-0.0145039909453017,-0.0251124725508314,-0.0001517235667633,0.0006054568356642,0.2183,0.3187,0.4631
2025-01-03 14:00:00,-1,19.8,win,0.0006895446850501,0.0010404565997104,0.0011142563577941,-0.0012684483681158,54.599322589265824,32.893602674934435,0.0012709225694604,0.0051606640978066,-0.4999999999999997,-0.8660254037844388,35.99119715473181,-0.00398878357383,-0.0082195913622437,34.12625012530527,-0.0096672104067169,-0.0204198916841293,-0.0009628419304416,-0.0011553634902984,0.1808,0.3095,0.5096
2025-01-03 16:00:00,1,19.8,win,0.0001554922791496,0.0001005590565981,0.0001716275906145,-0.0020183140685779,48.90038461903447,31.35519823260037,0.0014207091056074,0.004537580387643,-0.8660254037844385,-0.5000000000000004,39.709202215438566,-0.0025419085169939,-0.0067594212834482,34.12625012530527,-0.0096672104067169,-0.0204198916841293,-0.0014952042698094,-0.0010657877674153,0.47369999999999995,0.32270000000000004,0.20350000000000001
2025-01-06 05:00:00,1,19.7,win,-0.0006109416934678,-3.67558256456829e-05,0.0005815502598241,-0.0001004466804307,55.48046369959656,16.190509048472084,0.0010700439534548,0.003650524777451,0.9659258262890682,0.2588190451025209,47.924747883401686,0.0003864990987738,-0.0034134299224011,45.47314230497901,-0.0011767162697315,-0.011626600808145,-0.0005769519259239,0.0002968941594137,0.5865,0.2642,0.1494
2025-01-06 10:00:00,1,19.7,win,-0.0019719296495436,0.0005727116862434,0.0018488162389401,0.0019655487395429,61.32445066420143,20.546817664065813,0.0013818434671728,0.0068735063044502,0.5000000000000003,-0.8660254037844385,66.6145139211212,0.0085505546182452,0.0054621936068981,45.47314230497901,-0.0011767162697315,-0.011626600808145,0.0003835797532115,0.0006730997600352,0.5197999999999999,0.26899999999999996,0.2112
2025-01-06 12:00:00,-1,-10.3,loss_sl,-0.0010464419531657,0.004856124810532,0.0074475676268038,0.0084827986381665,74.769668196898,27.02424216404096,0.0021082642041546,0.0136041970767169,1.2246467991473532e-16,-1.0,59.725824276680754,0.0053023752768298,0.0026553960715218,45.47314230497901,-0.0011767162697315,-0.011626600808145,-8.581220024170929e-05,-1.1089240664426616e-05,0.2391,0.30820000000000003,0.45270000000000005
2025-01-06 13:00:00,-1,19.6,win,0.0005665586515732,0.0043358179982135,0.0072815886595675,0.0086897101374904,75.62138526993859,30.01916057900233,0.002178735798532,0.0154897184667467,-0.2588190451025203,-0.9659258262890684,59.725824276680754,0.0053023752768298,0.0026553960715218,45.47314230497901,-0.0011767162697315,-0.011626600808145,-0.0080277571341278,0.0005321448890003,0.2217,0.3046,0.47369999999999995
