Date,Close
2005-01-03 00:00:00+00:00,2.2039999961853027
2005-01-04 00:00:00+00:00,2.2920000553131104
2005-01-05 00:00:00+00:00,2.2820000648498535
2005-01-06 00:00:00+00:00,2.2669999599456787
2005-01-07 00:00:00+00:00,2.2769999504089355
2005-01-10 00:00:00+00:00,2.2730000019073486
2005-01-11 00:00:00+00:00,2.302000045776367
2005-01-12 00:00:00+00:00,2.2920000553131104
2005-01-13 00:00:00+00:00,2.302000045776367
2005-01-14 00:00:00+00:00,2.319999933242798
2005-01-18 00:00:00+00:00,2.302000045776367
2005-01-19 00:00:00+00:00,2.3269999027252197
2005-01-20 00:00:00+00:00,2.306999921798706
2005-01-21 00:00:00+00:00,2.302000045776367
2005-01-24 00:00:00+00:00,2.3010001182556152
2005-01-25 00:00:00+00:00,2.3610000610351562
2005-01-26 00:00:00+00:00,2.365000009536743
2005-01-27 00:00:00+00:00,2.38700008392334
2005-01-28 00:00:00+00:00,2.4070000648498535
2005-01-31 00:00:00+00:00,2.421999931335449
2005-02-01 00:00:00+00:00,2.4619998931884766
2005-02-02 00:00:00+00:00,2.4579999446868896
2005-02-03 00:00:00+00:00,2.431999921798706
2005-02-04 00:00:00+00:00,2.421999931335449
2005-02-07 00:00:00+00:00,2.437000036239624
2005-02-08 00:00:00+00:00,2.4649999141693115
2005-02-09 00:00:00+00:00,2.4670000076293945
2005-02-10 00:00:00+00:00,2.4670000076293945
2005-02-11 00:00:00+00:00,2.49399995803833
2005-02-14 00:00:00+00:00,2.4820001125335693
2005-02-15 00:00:00+00:00,2.5320000648498535
2005-02-16 00:00:00+00:00,2.5269999504089355
2005-02-17 00:00:00+00:00,2.5269999504089355
2005-02-18 00:00:00+00:00,2.552000045776367
2005-02-22 00:00:00+00:00,2.572999954223633
2005-02-23 00:00:00+00:00,2.625
2005-02-24 00:00:00+00:00,2.63700008392334
2005-02-25 00:00:00+00:00,2.674999952316284
2005-02-28 00:00:00+00:00,2.690000057220459
2005-03-01 00:00:00+00:00,2.691999912261963
2005-03-02 00:00:00+00:00,2.677000045776367
2005-03-03 00:00:00+00:00,2.691999912261963
2005-03-04 00:00:00+00:00,2.691999912261963
2005-03-07 00:00:00+00:00,2.677000045776367
2005-03-08 00:00:00+00:00,2.691999912261963
2005-03-09 00:00:00+00:00,2.691999912261963
2005-03-10 00:00:00+00:00,2.687000036239624
2005-03-11 00:00:00+00:00,2.691999912261963
2005-03-14 00:00:00+00:00,2.7119998931884766
2005-03-15 00:00:00+00:00,2.736999988555908
2005-03-16 00:00:00+00:00,2.7320001125335693
2005-03-17 00:00:00+00:00,2.7269999980926514
2005-03-18 00:00:00+00:00,2.742000102996826
2005-03-21 00:00:00+00:00,2.756999969482422
2005-03-22 00:00:00+00:00,2.802000045776367
2005-03-23 00:00:00+00:00,2.760999917984009
2005-03-24 00:00:00+00:00,2.7699999809265137
2005-03-28 00:00:00+00:00,2.7720000743865967
2005-03-29 00:00:00+00:00,2.7720000743865967
2005-03-30 00:00:00+00:00,2.76200008392334
2005-03-31 00:00:00+00:00,2.7219998836517334
2005-04-01 00:00:00+00:00,2.7269999980926514
2005-04-04 00:00:00+00:00,2.687999963760376
2005-04-05 00:00:00+00:00,2.7279999256134033
2005-04-06 00:00:00+00:00,2.7019999027252197
2005-04-07 00:00:00+00:00,2.700000047683716
2005-04-08 00:00:00+00:00,2.7119998931884766
2005-04-11 00:00:00+00:00,2.697000026702881
2005-04-12 00:00:00+00:00,2.7070000171661377
2005-04-13 00:00:00+00:00,2.7170000076293945
2005-04-14 00:00:00+00:00,2.7119998931884766
2005-04-15 00:00:00+00:00,2.7239999771118164
2005-04-18 00:00:00+00:00,2.812000036239624
2005-04-19 00:00:00+00:00,2.8469998836517334
2005-04-20 00:00:00+00:00,2.806999921798706
2005-04-21 00:00:00+00:00,2.816999912261963
2005-04-22 00:00:00+00:00,2.8580000400543213
2005-04-25 00:00:00+00:00,2.8320000171661377
2005-04-26 00:00:00+00:00,2.8519999980926514
2005-04-27 00:00:00+00:00,2.819999933242798
